id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
18099321,"Блудная","Блудная","Пёза","Q2357957","ru:Блудная (приток Пёзы)","03030000212103000048982",4
13981740,"Большая Сельменьга","Большая Сельменьга","Кулой","Q14943370","ru:Большая Сельменьга","03020300212103000028797",3
16105849,"Большая Таврежка","Большая Таврежка","Тавреньга",,,,2
16105853,"Большая Чужга","Большая Чужга","Вожега",,,"03010000112103000000246",6
16114345,"Большой Вощар","Большой Вощар","Вощар",,,,2
16114343,"Большой Ивас","Большой Ивас","Ивас",,,,2
16106044,"Боровица","Боровица","Малая Таврежка",,,"03020300212103000028919",2
13943174,"Вага","Вага","Северная Двина","Q63090","ru:Вага (приток Северной Двины)","03020300212103000028162",15
13998239,"Ваеньга","Ваеньга","Северная Двина","Q328231","ru:Ваеньга","03020300412103000032686",7
13510787,"Варчушка","Варчушка","Пёза","Q4104061","ru:Варчушка","03030000212103000049286",2
17015175,"Вашка","Вашка","Мезень","Q637310","ru:Вашка","03030000112103000046231",12
13981865,"Вель","Вель","Вага","Q74708","ru:Вель (приток Ваги)","03020300212103000028827",10
16079687,"Верхняя Майга","Верхняя Майга",,,,,2
13843152,"Верхняя Шукша","Верхняя Шукша",,,,,2
13565371,"Виледь","Виледь","Вычегда","Q194946","ru:Виледь","03020200212103000024426",4
16079681,"Водьма","Водьма",,,,,3
14070517,"Волошка","Волошка","Онега","Q2627849","ru:Волошка (река)","03010000112103000000826",10
16114336,"Вонжуга","Вонжуга",,,,,3
16114359,"Вонюшка","Вонюшка",,,,,3
16011506,"Вотча","Вотча","Кубена","Q4126826","ru:Вотча (приток Кубены)","03020100112103000005351",5
16107943,"Вотчица","Вотчица","Вель","Q11102015","ru:Вотчица (приток Вели)","03020300212103000028872",2
255334,"Вычегда","Вычегда","Северная Двина","Q65383","ru:Вычегда","03020200112103000013575",156
16106042,"Гремяча","Гремяча",,,,,2
18615210,"Емца","Емца","Северная Двина","Q8231","ru:Емца (река)","03020300412103000033416",3
16111895,"Зелёная","Зелёная",,,,,2
14132542,"Зимняя Золотица","Зимняя Золотица","Белое море","Q3508683","ru:Зимняя Золотица","03020300512103000040482",7
16106046,"Зимняя Шенчуга","Зимняя Шенчуга",,,,,2
14070518,"Икса","Икса","Онега","Q14943412","ru:Икса (приток Онеги)","03010000112103000002684",2
14135020,"Кадь","Кадь","Белое море","Q6742814","ru:Кадь (река, впадает в Белое море)","03020300512103000040307",4
5486679,"Кепина","Кепина","Сояна","Q10952297","ru:Кепина","03030000312103000042330",88
16079683,"Кизьма","Кизьма","Устья",,,"03020300212103000029657",4
15816879,"Кимжа","Кимжа","Мезень","Q247954","ru:Кимжа (приток Мезени)","03030000212103000050435",2
13843547,"Кисема","Кисема","Ваеньга","Q4222135","ru:Кисема","03020300412103000032778",5
14070689,"Кожа","Кожа","Онега","Q1088214","ru:Кожа (приток Онеги)","03010000112103000003124",36
14377472,"Койда","Койда","Белое море","Q3816191","ru:Койда (река)","03030000312103000041159",2
13981626,"Кокшеньга","Кокшеньга","Устья","Q287438","ru:Кокшеньга","03020300212103000030868",12
13981773,"Коленьга","Коленьга","Кулой","Q4227717","ru:Коленьга","03020300212103000028773",4
16009001,"Кубена","Кубена","Кубенское озеро","Q1570703","ru:Кубена","03020100112103000005276",29
13797244,"Кудьма","Кудьма","Белое море","Q4244673","ru:Кудьма (река, впадает в Белое море)","03020300512103000004897",7
2730723,"Кулой","Кулой","Белое море","Q981156","ru:Кулой (река, впадает в Белое море)","03030000312103000041463",3
13943120,"Кулой","Кулой","Вага","Q74725","ru:Кулой (приток Ваги)","03020300212103000028612",3
16016297,"Курья","Курья",,,,"03020300112003000027510",2
16671549,"Лавда","Лавда","Пинега",,,,8
2749765,"Лала","Лала","Луза","Q2018122","ru:Лала (река)","03020100212103000013034",7
16114351,"Лебеденьга","Лебеденьга",,,,,5
14070531,"Лельма","Лельма","Моша","Q6754562","ru:Лельма","03010000112103000002585",3
12525224,"Лепша","Лепша","Моша","Q2606875","ru:Лепша (приток Моши)","03010000112103000002455",6
16106045,"Летняя Шенчуга","Летняя Шенчуга",,,,,2
16016301,"Лименда","Лименда","Вычегда","Q236276","ru:Лименда","03020200212103000025201",6
18100439,"Лофтура","Лофтура","Пёза","Q4380510","ru:Лофтура","03030000212103000050183",2
16105852,"Лухтонга","Лухтонга","Кубена",,,"03020100112103000005290",3
16114334,"Малая Печеньга","Малая Печеньга",,,,,2
16105847,"Малая Таврежка","Малая Таврежка","Тавреньга",,,"03020300212103000028902",2
13818723,"Малошуйка","Малошуйка","Белое море","Q6937993","ru:Малошуйка (река)","03010000212102000007681",2
16114342,"Малый Ивас","Малый Ивас","Ивас",,,,2
18099491,"Мезенская Пижма","Мезенская Пижма","Мезень","Q247622","ru:Мезенская Пижма","03030000112103000044701",8
12186118,"Мезень","Мезень","Мезенская губа","Q79106","ru:Мезень (река)","03030000112103000043056",17
16114365,"Миня","Миня","Кокшеньга",,,,5
16111885,"Моленьга","Моленьга","Кулой",,,,2
13998286,"Моша","Моша","Онега","Q4305247","ru:Моша","03010000112103000001977",2
13879061,"Мудьюга","Мудьюга","Онега","Q6755424","ru:Мудьюга (приток Онеги)","03010000112103000003810",7
14133951,"Мудьюга","Мудьюга","Белое море","Q6742613","ru:Мудьюга (река, впадает в Белое море)","03020300512103000040222",6
16106039,"Мурденьга","Мурденьга",,,,,2
16114340,"Муртмаш","Муртмаш","Суксанга",,,"03020300212103000029756",4
16114364,"Мяткурга","Мяткурга","Устья",,,,7
18101521,"Немнюга","Немнюга","Кулой","Q1108285","ru:Немнюга (приток Кулоя)","03030000312103000042026",5
13981671,"Ненюшка","Ненюшка","Кокшеньга","Q6573060","ru:Ненюшка","03020300212103000031407",4
16011475,"Нижняя Ерга","Нижняя Ерга",,,,,7
16079686,"Нижняя Майга","Нижняя Майга",,,,,5
16704301,"Нижняя Тойма","Нижняя Тойма","Северная Двина","Q2628366","ru:Нижняя Тойма","03020300112103000027333",4
17005086,"Нондрус","Нондрус","Ваеньга","Q4327218","ru:Нондрус (река)","03020300412103000032983",5
15816878,"Няфта","Няфта","Пёза","Q4328740","ru:Няфта","03030000212103000050282",2
7277717,"Онега","Онега","Белое море","Q78898","ru:Онега (река)","03010000112103000000017",34
16024588,"Пежма","Пежма","Вага","Q4347971","ru:Пежма (приток Ваги)","03020300212103000028421",14
16102032,"Петеньга","Петеньга",,,,"03010000112103000000567",7
16024603,"Печеньга","Печеньга","Вага","Q12558677","ru:Печеньга (приток Ваги)","03020300212103000028391",9
16079688,"Печеньга","Печеньга","Кокшеньга","Q4362019","ru:Печеньга (приток Кокшеньги)","03020300212103000030929",2
18295324,"Печорская Пижма","Печорская Пижма","Пижма","Q4362109","ru:Печорская Пижма","03050300212103000078434",3
2235911,"Пинега","Пинега","Северная Двина","Q8212","ru:Пинега (река)","03020300312103000034650",14
13843548,"Покшеньга","Покшеньга","Пинега","Q287298","ru:Покшеньга","03020300312103000037590",8
16111896,"Полица","Полица",,,,,2
16102062,"Поржала","Поржала",,,,"03010000112103000000659",4
14049082,"Пукшеньга","Пукшеньга","Северная Двина","Q4383540","ru:Пукшеньга","03020300412103000034284",4
16105850,"Пурна","Пурна",,,,,3
18588864,"Пуя","Пуя","Вага","Q1108268","ru:Пуя","03020300212103000031452",10
13565366,"Пыела","Пыела","Виледь","Q238485","ru:Пыела","03020200212103000024785",3
15816837,"Пёза","Пёза","Мезень","Q762362","ru:Пёза","03030000212103000048975",2
14312516,"Пёша","Пёша","Баренцево море","Q2982641","ru:Пёша","03040000112103000054110",3
2702707,"Рогачёва","Рогачёва",,,,"03070000112103000095138",3
18100388,"Рочуга","Рочуга","Пёза","Q4389025","ru:Рочуга (приток Пёзы)","03030000212103000049132",5
13991258,"Свидь","Свидь","Лача","Q1895688","ru:Свидь","03010000112103000000154",5
2649819,"Северная Двина","Северная Двина","Белое море","Q8187","ru:Северная Двина","03020100312103000005014",76
13843544,"Северная Кисема","Северная Кисема","Кисема","Q4412060","ru:Северная Кисема","03020300412103000032815",2
13987993,"Селюга","Селюга","Уфтюга","Q4414987","ru:Селюга","03020300112103000025681",4
16106043,"Семженьга","Семженьга","Пежма",,,,2
16114363,"Сереж","Сереж","Мичкурга",,,,3
16024602,"Сивчуга","Сивчуга",,,,,6
13999864,"Синега","Синега","Вель","Q6581107","ru:Синега (река)","03020300212103000029350",9
19347705,"Сия","Сия","Северная Двина","Q4421291","ru:Сия (приток Северной Двины)","03020300412103000034499",19
