id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
169826,"Ай","Ай","Уфа","Q403175","ru:Ай (река)","10010201012111100021467",40
1476023,"Атер",,,,,,10
165099,"Белая","Белая","Kama","Q192157","ru:Белая (приток Камы)","10010200112111100016731",85
1397426,"Буй",,,,,,27
2999288,"Гарейка",,"Быстрый Танып",,,"10010201612111100026121",10
3116715,"Дёма",,"Белая","Q1232261","ru:Дёма",,32
214415,"Жайық - Урал","Урал","Caspian Sea","Q80240","kk:Жайық",,193
19287224,"Ик",,,"Q1143089","ru:Ик (приток Камы)",,66
3108640,"Инзер",,"Сим","Q799471","ru:Инзер",,38
221993,"Кама","Кама","Volga","Q79082","ru:Кама",,94
13864527,"Миасс","Миасс","Исеть","Q642028","ru:Миасс (река)",,69
2860549,"Нугуш",,,"Q799468","ru:Нугуш (приток Белой)","10010200312111100017781",19
1967178,"Сакмара","Сакмара",,"Q68939","ru:Сакмара",,20
1635367,"Сарс",,"Тюй",,,"10010201112111100022937",24
15608895,"Сюнь","Сюнь","Белая","Q1530753","ru:Сюнь (река)",,22
1452213,"Танып",,"Белая",,,,41
1456744,"Тюй",,,,,,37
169811,"Уфа","Уфа","Белая","Q210870","ru:Уфа (река)","10010200812111100020106",72
169806,"Юрюзань","Юрюзань",,"Q116456","ru:Юрюзань (река)","10010201112111100023101",34
