id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3624187,"Айдар","Айдар","Сіверський Донець","Q2469194","uk:Айдар",,23
2034965,"Везёлка","Везёлка",,"Q4105944",,,7
14022110,"Вовча","Волчья",,"Q1465958","uk:Вовча (притока Сіверського Дінця)",,11
3275147,"Ворскла","Ворскла","Дніпро","Q844041","uk:Ворскла",,100
3619023,"Ворсклица / Ворсклиця","Ворсклица","Ворскла","Q3180368","uk:Ворсклиця",,17
3615739,"Грайворонка","Грайворонка","Ворскла","Q35548596","uk:Грайворонка",,15
6419157,"Каменка","Каменка","Потудань",,,"05010100812207000003451",1
6419928,"Камышенка","Камышенка","Тихая Сосна","Q13204769","ru:Ольшанка (приток Тихой Сосны)","05010100712107000003615",7
7895099,"Липець / Липец","Липец",,"Q12117907","uk:Липець (річка)",,7
7388627,"Лозна / Лозная","Лозная",,"Q12118299","uk:Лозна (притока Айдару)",,7
2246122,"Лопань","Лопань","Udy","Q633455","uk:Лопань (притока Уди)",,18
17981662,"Нежеголь","Нежеголь",,"Q1805911",,,4
8343867,"Оскол / Оскіл","Оскол","Сіверський Донець","Q540067","uk:Оскіл",,44
3620118,"Порозок","Порозок","Пожня","Q50401029","uk:Порозок (річка)",,1
6419161,"Потудань","Потудань","Дон","Q4374966","ru:Потудань (река)","05010100812107000003430",17
3619026,"Похмурі / Похмурі","Понуры","Ворскла",,"uk:Понури (річка)",,5
3169334,"Псел / Псёл","Псёл","Дніпро","Q1133871","uk:Псел",,75
1745111,"Сейм","Сейм","Десна","Q738986","uk:Сейм (річка)",,85
6419163,"Скупая Потудань","Скупая Потудань","Потудань","Q4422727","ru:Скупая Потудань (река)","05010100812107000003478",4
222621,"Сіверський Донець / Северский Донец","Северский Донец","Дон","Q191238","uk:Сіверський Донець",,114
6419950,"Тихая Сосна","Тихая Сосна","Дон","Q690360","ru:Тихая Сосна","05010100712107000003530",32
11297315,"Удава","Удава","Псел","Q12163456","uk:Удава (притока Псла)",,17
1730762,"Уди / Уды",,,"Q2621853","uk:Уда (річка)",,21
2175631,"Харків / Харьков","Харьков","Лопань","Q1033990","uk:Харків (річка)",,12
2325101,"Чёрная Калитва","Чёрная Калитва","Don","Q4518605","ru:Чёрная Калитва","05010101212107000004355",29
