id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
2347319,,"Желтура","Dzhida","Q3176918","ru:Желтура (река)","16030000112116300008328",4
194773,"Амалат","Амалат","Tsipa",,,,4
4150444,"Ангаракан",,,"Q18396495","ru:Ангаракан (приток Верхней Ангары)","16040000112116300001241",12
194828,"Баргузин","Баргузин","Lake Baikal","Q808176","ru:Баргузин (река)","16040000212116300003961",13
11160227,"Барун-Бильчир",,"Цакирка",,,,1
11160225,"Барун-Гол",,"Цакирка",,,,1
11160230,"Барун-Гол",,"Мулустуй",,,,1
4152471,"Безымянная",,,"Q18400353","ru:Безымянная (приток Ангаракана)","16040000112116300001265",2
194774,"Большой Амалат",,"Амалат",,,,3
11160162,"Бортой (Нуд)",,"Дархинтуй",,,,3
4173927,"Вертолетный",,,,,,1
194577,"Верхняя Ангара","Верхняя Ангара","Байкал","Q1054311","ru:Верхняя Ангара","16040000112116300001142",20
166221,"Витим","Витим","Lena","Q26068","ru:Витим","18030200112117100015361",23
2775755,"Витимкан",,"Витим","Q4112385",,,2
11160163,"Дархинтуй",,"Хамней",,,,3
194465,"Джида","Джида","Selenge",,,,19
11160229,"Дунда-Гол",,"Мулустуй",,,,1
4152444,"Дяпкар",,,"Q18326837","ru:Дяпкар (приток Ангаракана)","16040000112116300001333",2
2162712,"Жом-Болок",,"Oka",,,,2
183590,"Иркут","Иркут","Angara","Q880254","de:Irkut (Fluss)","16010100212116200000202",29
4173899,"Итыкит",,,"Q18326984","ru:Итыкит (приток Ангаракана)","16040000112116300001258",5
2456734,"Кика","Кика",,"Q3196524","ru:Кика (река)","16040000212116300006504",14
183601,"Китой","Китой","Angara","Q1572822","ru:Китой",,33
4150265,"Ковокта",,,"Q18326855","ru:Ковокта (приток Ангаракана)","16040000112116300001289",3
18972954,"Ковыли",,,"Q36399503",,"16040000212116300004081",2
2186735,"Конда","Конда","Витим","Q29785436","ru:Конда (верхний приток Витима)","18030200112117100017624",7
194567,"Котера",,"Upper Angara",,,,6
2775756,"Куанда","Куанда","Витим","Q1111297","ru:Куанда (река)","18030200312117100029342",1
2430045,"Курба","Курба",,"Q1108902","ru:Курба (приток Уды)","16030000412116300018324",5
4152727,"Кута",,,,,,1
7008459,"Кынгарга",,,,,,2
2775757,"Левая Мама",,"Мама",,,,2
2775758,"Малый Амалат",,"Амалат",,,,4
166687,"Миня","Миня","Kirenga","Q3315036","ru:Миня",,2
11160234,"Модонкуль",,"Джида",,,,1
3299361,"Монто-Гол","Монто-Гол",,,,"16030000112116300007239",4
11160231,"Мулустуй",,"Цакирка",,,,1
172954,"Муя","Муя","Витим","Q673207","ru:Муя (река)","18030200312117100028222",11
183608,"Ока","Ока","Angara","Q288695","ru:Ока (приток Ангары)",,35
11160232,"Оронгодой",,"Цакирка",,,,1
2713305,"Оронгой","Оронгой",,"Q3356607","ru:Оронгой (река)",,2
2162713,"Сенца",,"Oka",,,,3
18607884,"Снежная","Снежная","Байкал","Q785531","ru:Снежная (река)","16020000112116300020576",12
6960207,"Старый Витим","Старый Витим","Витим",,,"18030200312117100028161",7
8239891,"Сухара","Сухара","Хилок",,,"16030000312116300015362",4
172084,"Сэлэнгэ гол","Селенга","Baikal Lake","Q75745","en:Selenga River",,190
194772,"Точа",,"Ципа",,,,2
2436304,"Турка","Турка",,"Q1009177","ru:Турка (река, впадает в Байкал)",,8
2467302,"Уда",,"Selenge","Q1368205","ru:Уда (приток Селенги)",,31
11160233,"Утата",,"Цакирка",,,,1
11160164,"Хамней",,"Джида",,,,7
11160228,"Хара-Бильчир",,"Мулустуй",,,,1
11160224,"Харгана-Бильчир",,"Цакирка",,,,1
2971253,"Хилок","Хилок","Selenge River",,,"16030000312116300012262",52
11160226,"Хундэлэн",,"Барун-Бильчир",,,,1
3299362,"Цакирка","Цакирка","Джида","Q28940510","ru:Цакирка","16030000112116300007154",4
172952,"Ципа","Ципа","Витим","Q205425","ru:Ципа (река)","18030200212117100023655",17
165944,"Чая (Лена)","Чая (Лена)","Lena","Q1669375","ru:Чая (приток Лены)",,5
1851280,"Чикой","Чикой","Selenge River","Q203228","ru:Чикой (река)","16030000212116300009089",110
