id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3237461,,,,,,,2
3238171,,,,,,,8
3238172,,,,,,,2
3238174,,,"Тынгеувеем",,,,5
16477915,,,,,,,2
16477917,,,,,,,2
16477918,,,,,,,2
16477919,,,,,,,2
16477920,,,,,,,2
16477921,,,,,,,2
16477922,,,,,,,2
16477923,,,,,,,2
16477924,,,,,,,2
16477925,,,,,,,2
16477926,,,,,,,2
16477927,,,,,,,2
16477928,,,,,,,2
16477929,,,,,,,2
16477930,,,,,,,2
16477932,,,,,,,2
16486267,,,,,,,2
16486268,,,,,,,2
16486269,,,,,,,2
16486270,,,,,,,5
16486271,,,,,,,2
16486272,,,,,,,2
16486273,,,,,,,2
16555240,,,,,,,2
206490,"Амгуэма","Амгуэма","Chukchi Sea","Q470525","ru:Амгуэма","19030000112119000087564",12
2191957,"Анадырь","Анадырь","Bering Sea","Q26390","ru:Анадырь (река)",,57
3961717,"Банная","Банная",,,,,3
1086341,"Большой Анюй","Большой Анюй","Anyuy","Q1465920","ru:Большой Анюй",,40
14373353,"Ионивээм","Ионивээм",,"Q609619","ru:Ёонайвеем",,4
3308153,"Кедон","Кедон",,"Q3601061","ru:Кедон",,4
16197816,"Кларк",,,"Q36162043",,,3
3237459,"Кулючивеем","Кулючивеем","Амгуэма",,,,4
3961718,"Курья","Курья",,,,,2
15073330,"Кэвеем",,,"Q15887191","ru:Кэвеем",,13
3830555,"Майныпонтаваам","Майныпонтаваам",,,,"19030000112119000086802",4
1076596,"Малый Анюй","Малый Анюй","Anyuy","Q1115719","ru:Малый Анюй","19010300112119000067297",43
16307129,"Мамонтовая",,,"Q36158497",,,4
16486274,"Мараваам",,,,,,4
3832105,"Олой","Олой",,"Q1111329",,,9
171318,"Омолон","Омолон","Колыма","Q1142842","ru:Омолон","19010200112119000047988",85
3345824,"Омрелькай","Омрелькай",,,,,6
206484,"Паляваам","Паляваам",,"Q527521","ru:Паляваам","19020000112119000078763",14
2166081,"Пегтымель","Пегтымель","Arctic Ocean","Q1111274","ru:Пегтымель","19020000112119000081985",15
3345825,"Пучевеем","Пучевеем",,"Q23662132","ru:Пучъэвеем","19020000112119000077742",5
3830556,"Рыкнатийнен","Рыкнатийнен",,,,"19030000112119000086727",2
7829323,"Танюрер","Танюрер","Анадырь","Q1112167","ru:Танюрер","19050000212119000120837",10
3238175,"Тынгеувеем","Тынгеувеем",,,,"19040000112119000099656",4
16236183,"Хатырка",,,"Q4496598","ru:Хатырка (река)",,5
3237460,"Чантальвэгыргын","Чантальвэгыргын","Экитыки","Q2453484","ru:Чантальвэгыргын","19030000112119000089506",6
3345770,"Чаун","Чаун",,"Q2045664","ru:Чаун (река)","19020000112119000078183",11
3830557,"Экиатап","Экиатап",,,,"19030000112119000086307",4
2182869,"Экитыки","Экитыки","Амгуэма","Q1076232","ru:Экитыки (река)","19030000112119000089346",6
