id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
2469822,"Аварское Койсу",,"Sulak","Q2072029","ru:Аварское Койсу",,12
14009515,"Андийское Койсу",,,"Q2563322",,,6
5490768,"Горькая Балка",,,,,,51
13653674,"Изано",,"Тахо",,,,2
2254689,"Каракойсу","Каракойсу","Аварское Койсу","Q2568457","ru:Каракойсу","07030000112109300001077",13
3440404,"Кума","Кума",,"Q182042","ru:Кума (река, впадает в Каспийское море)","07010000312108200001471",65
13672774,"Майкчай",,"Самур",,,,4
14009505,"Самур",,,"Q1342847",,,7
19298804,"Старый Терек",,"Каспийское море",,,,17
2103591,"Сулак",,"Caspian Sea","Q770781","ru:Сулак (река)",,24
15920723,"Сухая Кума",,,,,,3
13661365,"Турабачис",,"Китлярта",,,,2
2910949,"Уллучай","Уллучай",,"Q3732920","ru:Уллучай","07030000312109300001877",16
2471690,"თერგი/Терек","Терек","Caspian Sea","Q82776","ru:Терек","07020000212108200002513",50
