name,count
[Архангельская область](arkhangelsk.html),     135
[Вологодская область](vologda.html),     721
[Калининградская область](kaliningrad.html),      10
[Кировская область](kirov.html),      53
[Костромская_область](kostroma.html),     109
[Ленинградская область](leningrad.html),     131
[Мурманская область](murmansk.html),      68
[Ненецкий автономный округ](nenets.html),      42
[Новгородская область](novgorod.html),      46
[Пермский край](perm.html),      99
[Псковская область](pskov.html),      65
[Республика Карелия](karelia.html),      56
[Республика Коми](komi.html),     145
[Тверская область](tver.html),      83
[Смоленская область](smolensk.html),      85
[Ярославская область](yaroslavl.html),     159
