id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
172040,"Ангара","Ангара","Yenisei","Q162737","ru:Ангара","16010100112116200000012",66
13753768,"Байкаловская Рассоха",,"Усть-Илимское водохранилище",,,,15
6990832,"Биликтуйка",,,,,"16010100312116200003417",13
171934,"Бирюса","Бирюса","Taseyeva","Q386101","ru:Бирюса (река)",,60
8858204,"Болванинка",,"Нижняя Тунгуска",,,"17010700112116100062379",3
183823,"Большая Бирюса",,"Бирюса","Q133456559",,,3
16704293,"Большая Ерёма",,,"Q1108176","ru:Большая Ерёма","17010700112116100065127",6
8120849,"Большая Тира","Большая Тира","Лена",,,"18030000212117100006678",5
13764760,"Верхняя Шаманка",,"Ангара река",,,,2
166221,"Витим","Витим","Lena","Q26068","ru:Витим","18030200112117100015361",23
5448175,"Вихоревка",,,,,,17
14470484,"Гандюха",,,,,,33
14052312,"Грама",,"Игирма река",,,,25
6991329,"Доржевская",,,,,"16010100312116200003103",6
16778925,"Ершовка",,"Нижняя Тунгуска",,,"17010700112116100064625",2
13824311,"Жданиха","Жданиха","Игирма река",,,,38
175212,"Жуя",,"Чара",,,"18030400212117200022194",2
183620,"Зима","Зима","Oka",,,,9
13959092,"Игирма",,"Илим река","Q3045254",,,100
7926607,"Илга","Илга","Лена",,,"18030000112117100002435",3
9509446,"Илим",,"Ангара","Q1418910","de:Ilim","16010300112116200012989",8
183590,"Иркут","Иркут","Angara","Q880254","de:Irkut (Fluss)","16010100212116200000202",29
183648,"Ия","Ия",,,,,30
14435808,"Кандаки",,"Игирма",,,,5
14307685,"Карай",,"Черная река",,,,16
166164,"Киренга","Киренга","Лена","Q587464","ru:Киренга","18030000312117100007438",37
183601,"Китой","Китой","Angara","Q1572822","ru:Китой",,33
7752278,"Кунерма","Кунерма","Улькан",,,"18030000312117100009401",4
175375,"Кута","Кута","Lena",,,"18030000112117100004828",8
8858571,"Кутулея",,"Нижняя Тунгуска",,,"17010700112116100062232",3
2775757,"Левая Мама",,"Мама",,,,2
166171,"Лена","Лена","Laptev Sea","Q46841","ru:Лена","18030900112117500000010",180
5737561,"Малая Бирюса",,"Бирюса","Q35470060",,,5
9403025,"Малая Олха",,,,,,7
172977,"Мама","Мама","Vitim",,,,8
172961,"Мамакан","Мамакан","Vitim",,,,2
8760256,"Марикта",,"Чона",,,"18030800212117400009085",3
166687,"Миня","Миня","Kirenga","Q3315036","ru:Миня",,2
6992858,"Молька",,,,,"16010100312116200003356",13
14012090,"Морда",,"Игирма река",,,,50
13755301,"Налахта",,"Туба река",,,,4
2186795,"Непа","Непа","Lower Tunguska","Q1476730","de:Nepa","17010700112116100062768",11
173183,"Нижняя Тунгуска","Нижняя Тунгуска",,"Q26428","ru:Нижняя Тунгуска","17010700112116100061570",34
183608,"Ока","Ока","Angara","Q288695","ru:Ока (приток Ангары)",,35
7753658,"Окунайка","Окунайка","Киренга",,,"18030000312117100009616",3
9403024,"Олха",,,,,,7
14240865,"Паягина",,"Игирма река",,,,23
184373,"Подкаменная Тунгуска","Подкаменная Тунгуска","Yenisei","Q26361","ru:Подкаменная Тунгуска","17010500112116100033870",35
4494266,"Пойма",,,,,,39
3396544,"Похабиха",,,"Q4375034",,"16020000112116300021191",7
16757901,"Правая Рассоха",,"Левая Рассоха",,,"18030000412117100013308",2
18607884,"Снежная","Снежная","Байкал","Q785531","ru:Снежная (река)","16020000112116300020576",12
13764653,"Сосновка",,"Ангара река",,,,6
8124413,"Суринда",,"Непа",,,"17010700112116100063260",3
171935,"Тагул","Тагул","Biryusa","Q2068582","de:Tagul",,10
6990919,"Талая",,,,,"16010100312016200003397",5
13790218,"Татихта",,"Жданиха река",,,,21
7772772,"Таюра","Таюра","Лена","Q3516559","ru:Таюра (река)","18030000212117100006111",2
14328955,"Терехин ручей",,"Игирма река",,,,11
13753683,"Туба",,"Усть-Илимское водохранилище",,,,55
171939,"Туманшет",,"Biryusa",,,,5
13757300,"Турига",,"Илим река",,,,34
13792280,"Турижка",,"Турига река",,,,2
9507485,"Тутура",,"Лена",,,"18030000112117100001773",6
8142058,"Тушама",,"Кова",,,"16010300212116200018829",3
184380,"Тэтэрэ","Тэтэрэ","Podkamennaya Tunguska","Q3503139","de:Tetere","17010500112116100035867",10
171941,"Уда","Уда","Taseyeva","Q583285","ru:Уда (приток Тасеевой)",,54
7752904,"Улькан","Улькан","Киренга",,,,2
7763153,"Ханда","Ханда","Киренга","Q4495412","ru:Ханда (приток Киренги)","18030000312117100007971",8
6992683,"Целота",,,,,"16010100312116200003370",13
175182,"Чара","Чара","Olyokma","Q1074898","ru:Чара (приток Олёкмы)","18030400212117200020787",17
165944,"Чая (Лена)","Чая (Лена)","Lena","Q1669375","ru:Чая (приток Лены)",,5
5650435,"Ченча",,"Жуя",,,,1
13772988,"Чепчегин",,"Игирма река",,,,14
9507547,"Чикан",,"Тутура",,,"18030000112117100002152",3
174032,"Чиркуо","Чиркуо","Vilyuy",,,,3
166321,"Чона",,"Vilyuy",,,"18030800212117400008873",22
14282236,"Чёрная",,"Игирма река",,,,22
13989843,"Южная Хайрюзовка",,"Игирма река",,,,21
