id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
939439,"Ирмес",,"Нерль","Q4203393","ru:Ирмес",,10
15983944,"Исток",,,,,,2
2094452,"Клязьма","Клязьма","Ока","Q12556970","ru:Клязьма",,82
15618001,"Ландех",,"Лух","Q4253846","ru:Ландех",,9
15986550,"Лахость",,,,,"08010300212110000010989",2
15976352,"Луйка",,,,,,6
530914,"Лух",,"Клязьма","Q2610493","ru:Лух (река)",,27
16614943,"Мера",,,"Q1857584","ru:Мера (приток Волги)",,14
16649284,"Мокша",,,,,,2
16649283,"Нерехта",,,,,"08010300412110000013834",2
2144251,"Нерль","Нерль",,"Q904509","ru:Нерль (приток Клязьмы)","09010300812110000032258",33
2835010,"Покша",,,"Q85223","ru:Покша (приток Волги)",,6
15617999,"Пурежка",,"Лух","Q4253557","ru:Пурежка",,3
15618000,"Сезух",,"Лух","Q4390094","ru:Сезух (приток Луха)",,3
15986551,"Солоница",,,,,"08010300212110000011306",7
15983941,"Теза","Теза",,"Q1575245","de:Tesa (Fluss)",,13
305752,"Унжа","Унжа","Горьковское водохранилище","Q1431174","ru:Унжа (приток Волги)","08010300312110000014368",13
15986578,"Ухтома",,,,,,2
