id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
6125217,"Szeszupa - Šešupė - Шешупе","Шешупе","Nemunas","Q5629","lt:Šešupė","01010000112104300007771",116
7581520,"Węgorapa / Анграпа","Анграпа","Преголя","Q5613","pl:Węgorapa","01010000212104300010053",27
2835044,"Łyna/Лава","Лава","Pregel","Q5620","ru:Лава (приток Преголи)","01010000212104300010312",54
19437534,"Грапа",,"Zalew Wiślany/Vistula Lagoon",,,,8
2835045,"Дейма",,"East Sea","Q5615","ru:Дейма","01010000312004300009882",15
7883257,"Писса","Писса","Анграпа","Q5625","ru:Писса","01010000212104300010114",21
2835046,"Преголя","Преголя","Zalew Wiślany","Q5611","ru:Преголя","01010000212104300009873",24
6816136,"Селецкая","Селецкая","Вика","Q4413620","ru:Селецкая (приток Вики)","01010000212104300010091",9
6125216,"Шервинта / Širvinta",,"Šešupė","Q3500823","lt:Širvinta (Šešupė)","01010000212199000000530",37
14386159,"Широкая",,"Разлив","Q4524321","ru:Широкая (приток Разлива)","01010000312104300000299",3
