id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3687264,,,"Serebryanka",,,,2
5508982,,,"Snopot'",,,,2
3247819,"Аложа",,"Protva","Q4062810","ru:Аложа","09010100612110000022295",10
3250910,"Болва",,"Desna","Q891677","ru:Болва",,18
3247820,"Большой Березуй",,"Techa","Q3725948","ru:Большой Березуй","09010100412110000021399",18
3250911,"Боринка",,"Protva","Q4093713","ru:Боринка (река)","09010100612110000022127",6
3250912,"Брынец","Брынец","Bryn'","Q4097369","ru:Брынец","09010100512110000019746",6
3250913,"Брынь",,"Zhizdra","Q4097385","ru:Брынь","09010100512110000019739",30
15896524,"Бухловка","Бухловка",,,,,7
15886325,"Бычек",,"Rut'","Q4101281","ru:Бычек (приток Рути)","09010100612110000022073",5
3247821,"Велья",,,"Q4107008","ru:Велья (приток Рессеты)",,5
2531458,"Ветьма",,"Desna","Q4110119","ru:Ветьма",,11
270827,"Воря",,"Ugra","Q3436849","ru:Воря (приток Угры)",,22
3877784,"Выпрейка",,"Luzha","Q14915322","ru:Выпрейка (приток Лужи)","09010100612110000022196",9
4421028,"Высса",,"Oka","Q4129617","ru:Высса",,10
3785278,"Горна",,"Tarusa","Q4144498","ru:Горна (приток Тарусы)","09010100812110000021920",7
4785757,"Грязнинка",,"Oka",,,,3
5512810,"Демина",,"Ugra","Q3726028","ru:Демина (приток Угры)",,9
157601,"Десна","Десна","Dnipro","Q202796","uk:Десна",,143
3877785,"Другуска",,"Zhizdra","Q4168685","ru:Другуска","09010100512110000020230",2
3243664,"Жиздра",,"Oka","Q1342701","ru:Жиздра (река)",,20
270828,"Изверь",,"Ugra","Q3725379","ru:Изверь",,9
3395248,"Истья",,"Nara","Q4205147","ru:Истья (приток Нары)",,8
3395540,"Исьма",,"Protva","Q4205209","ru:Исьма","09010100612110000022097",15
4835736,"Каменец",,"Snopot'",,,,3
3687257,"Киёвка",,"Oka",,,,10
2866990,"Комола",,,"Q4229973","ru:Комола_(река)",,1
3906217,"Корыжа",,"Luzha","Q4234623","ru:Корыжа","09010100612110000022257",33
3880919,"Кунова",,"Ugra","Q3725285","ru:Кунова","09010100412110000021320",8
3241697,"Локнава",,"Seryona","Q4265781","ru:Локнава",,12
3877299,"Локня",,,,,"09010100412110000021580",7
303949,"Лужа",,"Protva","Q2623497","ru:Лужа (река)","09010100612110000022141",21
3612770,"Лютинка",,"Tarusa",,,,7
5485418,"Малая Ворона",,"Vorona","Q3725376","ru:Малая Ворона (река)","09010100412110000020637",5
17739171,"Межиловка",,"Протва",,,"09010100612110000022080",4
3548233,"Межиха",,,,,"09010100612110000022080",31
3877786,"Можайка",,"Ressa","Q3725363","ru:Можайка (приток Рессы)","09010100412110000021207",7
3781958,"Мышега",,"Oka","Q4309660","ru:Мышега","09010100812110000021791",12
3877883,"Нара","Нара","Oka","Q630567","ru:Нара (река)","09010100712110000022362",29
3683697,"Нероча",,,"Q3725396","ru:Нероча","09010100412110000021269",4
163223,"Ока","Ока","Volga","Q172089","ru:Ока","09010100112110000017555",170
3687255,"Перекша","Перекша","Popolta","Q3725419","ru:Перекша","09010100412110000021276",7
3612771,"Песочня","Песочня","Sukhodrev","Q4359893","ru:Песочня (приток Суходрева)","09010100412110000021603",12
3687258,"Песочня",,"Popolta",,,,2
270826,"Пополта","Пополта","Ressa","Q3725359","ru:Пополта","09010100412110000021245",7
15886799,"Прогнанка",,,,,,2
224248,"Протва","Протва","Oka","Q1467086","ru:Протва","09010100612110000021991",65
3245851,"Путынка","Путынка","Sukhodrev","Q3725344","ru:Путынка",,8
270825,"Ресса","Ресса","Ugra","Q4393645","ru:Ресса","09010100412110000021153",19
3247822,"Рессета",,"Zhizdra","Q4393647","ru:Рессета","09010100512110000019784",16
3683698,"Росвянка",,"Ugra","Q3724810","ru:Росвянка","09010100412110000021641",3
3250914,"Руть",,"Protva","Q4401200","ru:Руть","09010100612110000022059",11
3687259,"Свотица",,"Pereksha","Q3724881","ru:Свотица","09010100412110000021283",6
3687260,"Сергеевка",,"Bulanovka",,,,6
3687261,"Серебрянка",,"Pereksha",,,,4
3243665,"Серёна",,"Zhizdra","Q4417564","ru:Серёна (приток Жиздры)","09010100512110000020254",25
3245852,"Снопоть",,"Desna","Q35281020",,,11
3687262,"Сороченка",,"Turosna",,,,3
3395541,"Страдаловка",,"Protva",,,,21
2268739,"Суходрев","Суходрев","Shanya","Q3724935","ru:Суходрев_(приток_Шани)","09010100412110000021542",27
402283,"Таруса",,"Oka","Q4452190","ru:Таруса (река)","09010100812110000021890",34
3440288,"Терепец",,"Yachenka",,,,7
270824,"Теча",,"Ugra","Q4456937","ru:Теча_(приток_Угры)","09010100412110000021368",5
3687263,"Туросна","Туросна","Ressa","Q4466367","ru:Туросна (приток Рессы)","09010100412110000021214",6
536736,"Угра","Угра","Oka","Q264040","ru:Угра","09010100412110000020453",24
4663942,"Ужаток",,"Ressa","Q3724726","ru:Ужаток",,7
3877787,"Устошка",,"Mozhaika",,,,7
281480,"Шаня",,"Ugra","Q3724889","ru:Шаня","09010100412110000021481",30
3440289,"Яченка",,"Oka",,,,5
