id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
13972299,"Kiteenjoki / Китенйоки","Китенйоки",,"Q1414666","fi:Kiteenjoki","01040300212102000010849",12
16862735,"Koitajoki / Койтайоки","Койтайоки",,"Q1636202","fi:Koitajoki",,6
14000871,"Oulankajoki / Оланга","Оланга","Пяозеро","Q612111","ru:Оланга (река)","02020000412102000000604",41
13967073,"Tohmajoki / Тохмайоки","Тохмайоки","Ладожское озеро","Q1816420","ru:Тохмайоки","01040300212102000010801",20
13972141,"Аурайоки","Аурайоки","Ладожское озеро","Q4072435","ru:Аурайоки (река, впадает в Ладожское озеро)","01040300212102000010740",9
14000292,"Бегуновка","Бегуновка","Богатырское озеро","Q2657154","ru:Бегуновка","01040300212102000009416",9
15531257,"Болотная","Болотная","Мегрозеро","Q32512517","ru:Болотная (приток Мегрозера)","01040300212102000011808",4
10225158,"Важинка","Важинка","Свирь","Q501681","ru:Важинка","01040100712102000012431",250
11228494,"Видлица","Видлица","Ладожское озеро","Q4110644","ru:Видлица (река)","01040300212102000011556",53
14052638,"Вилга","Вилга","Шуя","Q4111134","ru:Вилга (приток Шуи)","01040100112102000014738",4
19392863,"Вирма","Вирма","Белое море","Q98455761","ru:Вирма (река, впадает в Онежскую губу)","02020001412102000007006",43
13965492,"Водла","Водла","Онежское озеро","Q1458500","ru:Водла","01040100412102000016104",19
14001272,"Войница","Войница","Ридалакши","Q4122636","ru:Войница (река)","02020000812102000003052",2
14000982,"Волома","Волома","Сегозеро","Q4123887","ru:Волома (река)","02020001112102000005951",44
19289265,"Выг",,,"Q1506596",,,7
13968282,"Ивина","Ивина",,"Q4197159","ru:Ивина","01040100712102000012097",64
13965616,"Иййоки","Иййоки","Ладожское озеро","Q4198949","ru:Иййоки (река, впадает в Ладожское озеро)","01040300212102000010726",4
19141718,"Каменная","Каменная","Нюк","Q4211090","ru:Каменная (река, впадает в Нюк)","02020000912102000003969",21
9445490,"Кемь","Кемь","Белое море","Q1130713","ru:Кемь (река, впадает в Белое море)","02020000812102000002697",7
13959300,"Кереть","Кереть","Белое море","Q1739234","ru:Кереть (река)","02020000712102000001615",31
13971938,"Койринйоки","Койринйоки","Ладожское озеро","Q4227204","ru:Койринйоки","01040300212102000011174",3
13976962,"Кокколанйоки","Кокколанйоки","Ладожское озеро","Q1352361","ru:Кокколанйоки","01040300212102000010610",10
14896199,"Колвас","Колвас","Лексозеро","Q4227619","ru:Колвас (река)","01050000112102000009895",3
19244277,"Колласйоки",,,"Q2990577",,,4
19392918,"Кузрека","Кузрека","Белое море","Q4244724","ru:Кузрека (река, впадает в Онежский залив)","02020001412102000006931",3
6691116,"Лососинка","Лососинка","Онежское озеро","Q7485597","ru:Лососинка","01040100612102000013972",8
15037998,"Мегрега","Мегрега","Олонка","Q4286655","ru:Мегрега (приток Олонки)","01040300212102000011792",4
14896245,"Мурдойоки","Мурдойоки","Минсъярви","Q4307941","ru:Мурдойоки","01050000112102000010006",15
7251044,"Неглинка","Неглинка","Онежское озеро","Q4315946","ru:Неглинка (река, впадает в Онежское озеро)","01040100612102000014009",24
19382476,"Нюхча","Нюхча","Белое море","Q4328589","ru:Нюхча (река, впадает в Белое море)","02020001412102000007334",26
13966953,"Олонка","Олонка","Ладожское озеро","Q49582","ru:Олонка","01040300212102000011716",15
13595762,"Омельянйоки","Омельянйоки","Торосозеро","Q4334620","ru:Омельянйоки","01050000112102000009949",7
3104308,"Онда","Онда","Беломорканал","Q1636397","ru:Онда (река)","02020001312102000006277",68
15420373,"Пекки","Пекки",,,,,2
19370960,"Пенинга","Пенинга","Лексозеро","Q4348526","ru:Пенинга","01050000112102000010167",5
18360696,"Писта","Писта","Верхнее Куйто","Q2097062","ru:Писта","02020000812102000003236",78
18378378,"Пулома","Пулома","Энгозеро","Q4383618","ru:Пулома","02020000712102000002049",15
13972054,"Савайнйоки","Савайнйоки","Ладожское озеро","Q4403655","ru:Савайнйоки","01040300212102000010795",4
14053478,"Самина","Самина","Андома","Q4406572","ru:Самина (приток Андомы)","01040100612102000017369",2
14058583,"Сандалка","Сандалка","Суна","Q4407490","ru:Сандалка (приток Суны)","01040100212102000015345",3
16102472,"Саража","Саража","Сомба","Q4408269","ru:Саража","01040100412102000016906",2
16102473,"Сомба","Сомба","Водла","Q4428662","ru:Сомба (приток Водлы)","01040100412102000016890",3
13855183,"Сонрека","Сонрека","Белое море","Q4428737","ru:Сонрека","02020000712102000001912",38
13972178,"Соскуанйоки","Соскуанйоки","Ладожское озеро","Q4429464","ru:Соскуанйоки","01040300212102000010672",15
14194301,"Сулкийоки","Сулкийоки","Соваярви","Q14914748","ru:Сулкийоки","02020000412102000000628",7
13797650,"Сума","Сума","Белое море","Q1112816","ru:Сума (река, впадает в Белое море)","02020001412102000007068",110
19872880,"Сума","Сума","Водла","Q98070350","ru:Сума (приток Водлы)","01040100412102000016852",3
9748482,"Суна","Суна","Онежское озеро","Q226862","ru:Суна (река, впадает в Онежское озеро)","01040100212102000014812",13
15422568,"Томица","Томица","Логмозеро","Q4460299","ru:Томица","01040100612102000014023",25
13971923,"Тулема-йоки","Тулема-йоки","Ладожское озеро","Q2027131","fi:Tulemajoki","01040300212102000011334",6
13966830,"Тулокса","Тулокса","Ладожское озеро","Q4465154","ru:Тулокса","01040300212102000011648",26
6816183,"Тумча","Тумча","Тумчаозеро","Q2299714","ru:Тумча","02020000512102000000887",5
3776465,"Уксунйоки","Уксунйоки","Ладожское озеро","Q2024689","ru:Уксунйоки","01040300212102000011198",57
11997091,"Хяме","Хяме","Чирко-Кемь","Q4502852","ru:Хяме (приток Чирко-Кеми)","02020000912102000003945",3
16102470,"Челма","Челма","Самина","Q4508433","ru:Челма (приток Самины)","01040100612102000017406",2
11940860,"Чирко-Кемь","Чирко-Кемь","Юшкоярви","Q2140165","ru:Чирко-Кемь","02020000912102000003648",33
14053505,"Чёрная","Чёрная","Онежское озеро","Q32654272","ru:Чёрная (река, впадает в Онежское озеро)","01040100612102000017093",3
14053154,"Шапша","Шапша","Ивенка","Q21036251","ru:Шапша (приток Ивины)","01040100712102000012134",6
13969486,"Шуя","Шуя","Логмозеро","Q779982","ru:Шуя (река, впадает в Логмозеро)","01040100112102000014042",28
14001066,"Янисйоки","Янисйоки","Ладожское озеро","Q1714941","ru:Янисйоки","01040300212102000010870",50
