id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3010744,"Александровка",,,,,,2
1145523,"Алчедат",,"Золотой Китат",,,,6
10068142,"Анаман",,"Сары-Чумыш",,,,2
11370568,"Антроп",,,,,,11
10064271,"Ачигус",,"Чумыш",,,,2
8342666,"Барзас",,,,,"13010400312115200020363",11
10052578,"Бердь",,,,,,8
12239854,"Березовая",,"Иня",,,"13010200612115200006131",4
10459748,"Берёзовая",,,,,,2
5699322,"Большая Камышная",,"Томь","Q3731032","ru:Большая Камышная","13010300312115200012002",8
12145577,"Большая Подикова",,,"Q3730752","ru:Большая Подикова",,5
5731040,"Большая Промышленная",,"Томь","Q3730589","ru:Большая Промышленная","13010300312115200011920",11
8991786,"Большая Чёрная",,"Томь",,,,9
15509325,"Вагина",,,"Q3730860","ru:Вагина (приток Стрельной)",,2
9099867,"Долгоун","Долгоун","Четь","Q6557374",,,12
12145643,"Ерпак",,,,,,3
1145521,"Золотой Китат",,"Яя",,,,6
192321,"Иня","Иня","Ob","Q955455","ru:Иня (нижний приток Оби)",,57
12240453,"Итатка",,,,,,2
12215751,"Кайвал",,,,,,3
12145728,"Кельбес",,,,,,6
2186742,"Кинерка",,"Kondoma",,,,19
181181,"Кия","Кия","Chulym","Q1513580","ru:Кия (приток Чулыма)","13010400212115200018064",34
1146193,"Кожух","Кожух","Kiya",,,,5
160811,"Кондома","Кондома","Tom","Q1536880","de:Kondoma",,22
12240466,"Косуль",,,,,,3
15903936,"Кузьминка",,,,,,3
12204878,"Куро-Искитим",,,,,,4
11549896,"Лебяжья",,,,,,34
10064270,"Малая Мостовая",,"Чумыш",,,,2
10075278,"Малый Уксунай",,"Уксунай",,,"13010200412115200002289",2
12145823,"Маручак",,,,,,3
191320,"Мрас-Су","Мрас-Су","Tom","Q1419687","ru:Мрассу",,36
10060725,"Сары-Чумыш",,"Чумыш",,,"13010200412115200001855",9
1146330,"Серта","Серта","Kiya",,,,10
16219572,"Стрельная",,,,,,5
191251,"Томь","Томь","Обь","Q216188","ru:Томь",,41
3347737,"Тяжин",,,,,,6
10066635,"Урлеп",,"Сары-Чумыш",,,,3
207526,"Урюп",,"Chulym",,,,23
12358482,"Чесноковка",,"Томь",,,,9
164850,"Чулым","Чулым","Ob","Q214768","ru:Чулым (приток Оби)","13010400112115200013824",90
192342,"Чумыш","Чумыш","Ob","Q1312072","ru:Чумыш","13010200412115200001671",52
6963736,"Шарап 2-й",,,,,,3
164847,"Яя","Яя","Chulym","Q1637644","ru:Яя (река)",,22
