id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
2743928,"Koca",,"Чепца",,,,22
1665089,"Белая Холуница",,"Вятка",,,,7
13841610,"Большая Китячка",,,,,,10
380371,"Большая Кокшага","Большая Кокшага",,"Q940104","ru:Большая Кокшага",,30
380447,"Большой Кундыш","Большой Кундыш",,"Q2626547","ru:Большой Кундыш","08010400712112100000831",9
2791985,"Боровица",,"Летка",,,,8
2101863,"Буй",,,,,"10010300412111100038133",14
16102077,"Былина",,,,,,2
1666209,"Вала",,,,,"10010300512111100039085",21
16011480,"Варжа",,,,,,5
14082268,"Великая","Великая","Вятка","Q4106212","ru:Великая (приток Вятки)","10010300312111100034204",12
14128214,"Волковица",,"Великая","Q483999","ru:Волковица","10010300312111100034235",2
16102078,"Вохомка",,,,,"10010300312111100035058",2
2939508,"Воя",,,,,,20
222143,"Вятка","Вятка","Kama","Q192495","ru:Вятка (река)","10010300212111100029744",75
14081764,"Гладкая",,"Шубрюг","Q16636956","ru:Гладкая (приток Шубрюга)","10010300312111100035737",3
221993,"Кама","Кама","Volga","Q79082","ru:Кама",,92
13778909,"Каркаусь","Каркаусь",,,,"10010300612111100040509",13
2246915,"Кильмезь","Кильмезь","Wjatka","Q1276917","ru:Кильмезь (река)",,20
16030348,"Кильченга",,,,,,4
2894519,"Кобра","Кобра","Вятка","Q487385","ru:Кобра (река)","10010300212111100030641",15
14116554,"Кобра",,"Молома","Q485925","ru:Кобра (приток Моломы)","10010300312111100035812",6
2696342,"Кордяга",,"Чепца",,,"10010300112111100033780",12
5121720,"Лаж",,"Немда","Q486197","ru:Лаж","10010300412111100037402",26
2749765,"Лала","Лала","Луза","Q2018122","ru:Лала (река)","03020100212103000013034",7
2791984,"Летка","Летка","Вятка","Q1821114","ru:Летка","10010300212111100031600",13
2824463,"Луза","Луза","Юг","Q1293972","ru:Луза (река)","03020100212103000011696",26
1752408,"Лупья",,,,,"10010100112111100000665",9
14081768,"Молома","Молома","Вятка","Q1029502","ru:Молома","10010300312111100034976",25
3366107,"Немда",,,"Q2632633","ru:Немда (приток Пижмы)","10010300412111100037273",21
14128215,"Озорница",,"Великая","Q485648","ru:Озорница","10010300312111100034464",2
13665087,"Ошторма","Ошторма","Вятка","Q486193","ru:Ошторма",,11
16102080,"Паломица",,,,,,2
2921234,"Пижма",,"Вятка","Q304530","ru:Пижма (приток Вятки)","10010300412111100036375",41
13565366,"Пыела","Пыела","Виледь","Q238485","ru:Пыела","03020200212103000024785",3
16102074,"Пырица",,,,,,2
16102079,"Рукавишный Лог",,,,,"10010300312111100035041",2
2887340,"Сома",,"Белая Холуница",,,"10010300212111100032201",11
13801169,"Субая",,"Ошторма",,,,11
2696343,"Суна",,"Коса",,,"10010300112111100033704",10
13665086,"Тойменка",,"Ошторма",,"ru:Тойменка",,7
7076576,"Толмань","Толмань","Немда",,,"10010300412111100037341",7
2101864,"Уржумка",,"Вятка","Q1398011","ru:Уржумка (река)","10010300512111100038224",9
383753,"Уста",,"Ветлуга","Q613482","ru:Уста (река)","08010400212110000043045",18
2016908,"Чепца","Чепца","Вятка","Q864697","ru:Чепца","10010300112111100032349",30
14081767,"Шубрюг",,"Молома","Q484642","ru:Шубрюг","10010300312111100035676",3
14081765,"Шубрюг Полуденный",,"Шубрюг","Q484499","ru:Шубрюг Полуденный","10010300312111100035683",3
14081766,"Шубрюг Северный",,"Шубрюг","Q485573","ru:Шубрюг Северный","10010300312111100035713",3
2824464,"Юг",,"Северная Двина","Q845960","ru:Юг (река)","03020100212103000009969",37
14127904,"Юрья",,"Великая","Q486258","ru:Юрья (приток Великой)","10010300312111100034365",11
6684373,"Ярань","Ярань","Пижма",,,,12
16102076,"Яхреньгская Былина",,,,,"10010300312111100035027",2
