id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
18294697,"Ёлва","Ёлва","Вымь","Q195152","ru:Ёлва","03020200212103000021579",6
18293828,"Ёль","Ёль","Содзим","Q4172749","ru:Ёль (приток Содзима)","03030000112103000047528",2
18295470,"Ёрса","Ёрса","Печора","Q2551220","ru:Ёрса","03050300212103000081229",16
18296586,"Адзьва","Адзьва","Уса","Q378723","ru:Адзьва","03050200112103000070166",10
14003241,"Айюва","Айюва","Ижма","Q2030102","ru:Айюва","03050300112103000076226",11
10113746,"Аныб-Ю",,"Вычегда","Q237822","ru:Аныб (приток Вычегды)","03020200112103000016378",8
10116332,"Асыввож","Асыввож","Аныб","Q236862","ru:Асыввож (приток Аныба)","03020200112103000016385",1
14007891,"Бад-Я",,"Вуктыл","Q4075017","ru:Бадья (приток Гудырвожа)","03050100212103000061579",2
15982831,"Бедвож","Бедвож","Умба","Q4080586","ru:Бедвож","03050300212103000078663",2
18296053,"Белая Кедва","Белая Кедва","Кедва","Q1072505","ru:Белая Кедва","03050300112103000077162",2
14291546,"Большая Визинга","Большая Визинга","Сысола","Q2396015","ru:Большая Визинга","03020200112103000019416",20
14058362,"Большая Мутная","Большая Мутная","Печора","Q4091513","ru:Большая Мутная (приток Печоры)","03050300112103000074451",6
14383614,"Большой Емель","Большой Емель","Подчерье","Q4091328","ru:Большой Емель","03050100212103000061814",6
14174993,"Большой Паток","Большой Паток","Тшугор","Q13204288","ru:Большой Паток","03050100212103000062576",105
14446231,"Боровиха","Боровиха","Печора","Q4401281","ru:Боровиха (река)","03050100212103000063696",9
12866281,"Важель-Ю",,"Сысола","Q237621","ru:Важъёлью","03020200112103000020108",7
17015175,"Вашка","Вашка","Мезень","Q637310","ru:Вашка","03030000112103000046231",12
14082268,"Великая","Великая","Вятка","Q4106212","ru:Великая (приток Вятки)","10010300312111100034204",12
13156487,"Вель-Ю",,,,,,3
18623116,"Верхняя Лупья","Верхняя Лупья","Вычегда","Q237137","ru:Верхняя Лупья","03020200212103000024013",17
14303574,"Верхняя Чукча","Верхняя Чукча","Печора","Q4109011","ru:Верхняя Чукча","03050300212103000081052",6
2722751,"Весляна","Весляна","Кама","Q2733866","ru:Весляна (приток Камы)","10010100112111100001457",3
18623179,"Весляна","Весляна","Вымь","Q3508944","ru:Весляна (приток Выми)","03020200212103000021913",2
13125958,"Вишера","Вишера","Вычегда","Q168679","ru:Вишера (приток Вычегды)","03020200112103000016507",23
14074201,"Воим","Воим","Пожег","Q237857","ru:Воим (приток Пожега)","03020200212103000020480",17
14053494,"Войвож","Войвож","Лопъю","Q236895","ru:Войвож (приток Лопъю)","03020200112103000016989",2
14442365,"Войвож","Войвож","Козлаю","Q4122483","ru:Войвож (приток Козлаю)","03050100212103000061975",6
14385961,"Воль","Воль","Северная Кельтма","Q36202380","ru:Воль (приток Северной Кельтмы)","03020200112103000015340",3
18295105,"Воль","Воль","Вычегда","Q1114599","ru:Воль (приток Вычегды)","03020200112103000013803",3
4777935,"Воргашор","Воргашор","Янэйтывис",,,"03050200112103000066213",2
4777454,"Воркута","Воркута","Уса","Q1199347","ru:Воркута (река)","03050200112103000066138",5
18623268,"Ворыква","Ворыква","Вымь","Q239545","ru:Ворыква","03020200212103000020817",3
