id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
13738303,"Андоба",,"Кострома","Q4065341","ru:Андоба (приток Костромы)",,12
16237410,"Анюг",,,,,,5
16634991,"Ача",,,,,"08010300412110000013964",6
16305098,"Белый Лух",,"Унжа","Q3724736","ru:Белый Лух",,2
16304842,"Берёзовка","Берёзовка",,,,,6
16914858,"Болть",,,,,,2
16607149,"Большой Утрас",,,"Q4092914","ru:Большой Утрас",,2
16300661,"Варваж",,,"Q4103593","ru:Варваж (приток Якшанги)",,6
16236472,"Верхняя Варзенга",,,,,,2
382593,"Ветлуга","Ветлуга","Volga","Q467419","ru:Ветлуга (река)",,36
306575,"Вига",,"Unsha","Q2608369","ru:Вига",,10
16305058,"Водгать",,,"Q3724274","ru:Водгать (нижний приток Унжи)",,5
16506646,"Водыш",,,"Q4114189","ru:Водыш",,6
16236470,"Возига",,,,,,8
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
15987246,"Воложница",,,"Q4123674","ru:Воложница",,4
17000726,"Вонюх",,,,,"08010300312110000015419",2
11993322,"Вохма","Вохма",,"Q613508","ru:Вохма (река)",,2
16011492,"Вохтома",,,,,,4
16659802,"Воча",,,"Q4126873","ru:Воча","08010300112110000011796",3
16102081,"Вочь",,,,,,5
16166753,"Вынош",,,,,,6
16641646,"Зимняя Тоехта",,,,,"08010300312110000015952",2
16291355,"Ингарь",,,,,,3
16676354,"Исаровка",,,,,"08010400112110000041035",2
16061593,"Ихалица",,,,,,3
16235630,"Ичеж",,,,,,3
306710,"Кисть",,"Unsha","Q3724150","ru:Кисть (приток Виги)",,4
318575,"Княжая",,"Unsha","Q3725065","ru:Княжая (приток Унжи)",,4
16236469,"Колохта",,,,,,3
16235628,"Корзан",,,,,,2
16235629,"Корманга",,,,,,2
16304841,"Кортюг","Кортюг",,"Q4234404","ru:Кортюг",,3
13991625,"Кострома","Кострома́",,"Q863102",,,15
16613347,"Кузюг","Кузюг",,"Q4245530","ru:Кузюг (приток Вочи)",,5
16290553,"Кусть",,,,,,3
16008958,"Лежа",,,"Q64644","ru:Лежа (река)","03020100312103000006622",24
15987273,"Лукинка",,,,,,2
16235719,"Марханга",,,,,,3
16243422,"Масленка",,,,,,2
16614943,"Мера",,,"Q1857584","ru:Мера (приток Волги)",,14
16914859,"Меремша",,,,,,2
16243425,"Миневка",,,,,,6
16293383,"Михайловка",,,,,,7
16676355,"Мишина Пенома",,,,,"08010400112110000041028",2
16603465,"Молокша",,,"Q3725105","ru:Молокша (приток Чёрного Луха)",,2
16016345,"Монза",,,,,,2
16102083,"Муржа",,,,,,4
308625,"Нельша",,"Unsha","Q3725099","ru:Нельша",,6
16004063,"Нерехта",,,,,"08010300212110000011382",5
16649283,"Нерехта",,,,,"08010300412110000013834",2
306481,"Нея",,"Unsha","Q2720684","ru:Нея (река)",,17
16236471,"Нижняя Варзенга",,,,,,2
16305057,"Нозома",,,"Q3724013","ru:Нозома",,4
16291357,"Нозьма",,,,,,14
17000792,"Ночной Портюг",,,,,"08010300312110000015648",2
