id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
2169144,,,"Yenisei",,,,17
3354200,,,,,,,8
3356197,,,,,,,3
3360116,,,,,,,3
3390311,,,,,,,2
3391334,,,,,,,11
3415719,,,,,,,5
3490340,,,,,,,3
5265191,,,,,,,2
11748186,,,,,,,5
13523904,,,,"Q2320619","ru:Агапа (река)",,3
14356553,"Dudinka",,"Jenissei","Q4170173","de:Dudinka (Jenissei)",,6
181994,"Абакан","Абакан","Yenisei","Q216950","ru:Абакан (река)",,29
13942438,"Аганыли",,"Котуй",,,,13
3376542,"Амонаш",,,,,,2
3354197,"Амыл",,,,,,12
172040,"Ангара","Ангара","Yenisei","Q162737","ru:Ангара","16010100112116200000012",66
4573244,"Анжа",,,"Q4066182",,,16
178418,"Арга-Сала","Арга-Сала","Olenyok","Q2573885","ru:Арга-Сала (приток Оленька)","18020000112117600050229",7
178676,"Аякли","Аякли",,"Q411989","de:Ajakli (Cheta)",,6
178655,"Аян",,"Khatanga","Q412042",,,6
670936308,"Базаиха",,,,,,0
3398297,"Базаиха",,,,,,27
13942781,"Балаганнах","Балаганнах","Дьогдьо",,,"17040200112117600017889",2
184453,"Бахта","Бахта","Yenisei",,,,2
4572733,"Белая","Белая",,,,,7
3336580,"Береш",,,"Q3720222","ru:Береш","13010400112115200015682",11
4589461,"Берёзовая",,,,,,2
171934,"Бирюса","Бирюса","Taseyeva","Q386101","ru:Бирюса (река)",,60
178588,"Боганида",,"Kheta","Q890371","ru:Боганида (приток Хеты)",,9
2169141,"Богунай",,"Kan",,,,4
4480386,"Большая",,,,,,7
16290094,"Большая Балахня","Большая Балахня","Хатангский залив","Q867210","ru:Большая Балахня","17040400212117600005636",5
16914455,"Большая Волчья",,"Горбита",,,,2
16704293,"Большая Ерёма",,,"Q1108176","ru:Большая Ерёма","17010700112116100065127",6
4599754,"Большая Игарка",,,,,,2
4840428,"Большая Камала","Большая Камала",,,,,16
16703864,"Большая Лебяжья",,,,,"17010500312116100053319",2
18766235,"Большая Рассоха","Большая Рассоха","Гусиха","Q32506055",,"17040400212117600005438",1
16914243,"Большая Сонитэ",,"Янгода",,,,2
3402958,"Большая Уря",,,"Q32506571",,,23
7749469,"Большая Хета",,"Енисей","Q185328","ru:Большая Хета","17010800412116100107890",11
4467223,"Большой Тайгиш",,,,,,2
3386081,"Большой Улуй",,,,,,11
4520487,"Буланка",,,,,,4
14641114,"Ванжиль","Ванжиль","Тым",,"ru:Ванжиль","13010900112115200033704",3
184423,"Вельмо","Вельмо","Podkamennaya Tunguska","Q1712300","de:Welmo",,8
173873,"Верхний Вилюйкан",,"Вилюй",,,,10
4599084,"Верхний Имбак",,,,,,3
4522884,"Верхняя Ослянка",,,,,,3
3557409,"Верхняя Подъёмная",,,,,,12
184520,"Виви","Виви","Lower Tunguska","Q1889319","ru:Виви (река)",,6
166236,"Вилюй","Вилюй","Lena","Q26433","ru:Вилюй",,63
16914264,"Горбита","Горбита","Верхняя Таймыра",,,"17030000112116100145251",2
4599755,"Гравийка",,,,,,5
3352059,"Дербина",,,,,,8
3352446,"Джебь",,,,,,5
184367,"Дубчес","Дубчес","Yenisei",,,,11
5974375,"Дудыпта",,,"Q1263834","ru:Дудыпта",,14
179893,"Дьогдьо",,"Куотуйкан","Q32749552",,"17040200112117600017742",3
184492,"Елогуй","Елогуй","Yenisei","Q633428",,,6
11748183,"Енашимо",,,,,,10
181988,"Енисей","Енисей","Arctic Ocean","Q78707","ru:Енисей","17010300112116100000014",90
173184,"Илимпея","Илимпея","Nizhnyaya Tunguska","Q911726","de:Ilimpeja",,14
3438690,"Иркинеева",,,,,,14
5265190,"Казачья",,,,,,2
183508,"Кан","Кан","Yenisei","Q939201","ru:Кан (река)",,59
3415718,"Кандат",,,,,,7
3354198,"Канзыба",,,,,,3
3446487,"Карабула",,,,,,5
19869584,"Кас",,,"Q744158",,,26
3369617,"Кача",,,"Q2220503","ru:Кача (приток Енисея)",,42
4467224,"Кебеж",,,,,,15
2744987,"Келлог","Келлог",,"Q4219138","ru:Келлог (река)",,5
1174363,"Кемчуг",,"Chulym","Q6557784","de:Kemtschug",,21
183844,"Кемь","Кемь","Yenisei",,,,22
194252,"Кеть",,"Обь","Q724465","ru:Кеть","13010600112115200024176",50
19737333,"Кимчу",,,"Q35494411",,,2
3305041,"Кирель",,"Кан",,,,9
12240466,"Косуль",,,,,,3
179862,"Котуй","Котуй","Хатанга","Q26374","ru:Котуй","17040400112117600006917",28
2776020,"Котуйкан",,"Котуй","Q1109784","ru:Котуйкан (приток Котуя)","17040200112117600016707",2
184573,"Кочечум","Кочечум","Lower Tunguska","Q1785455","de:Kotschetschum","17010700312116100073342",13
2172322,"Крол",,"Mana",,,,2
15903936,"Кузьминка",,,,,,3
184610,"Курейка","Курейка","Yenisei","Q909457","ru:Курейка (река)",,16
2169142,"Курыш",,"Kan",,,,8
3317931,"Курыш",,,"Q36208264",,"17010300412116100023140",10
16914454,"Логата","Логата","Верхняя Таймыра","Q6762752","ru:Логата","17030000112116100146197",3
19869534,"Ломоватая",,,"Q4266230",,,1
4749784,"Лугавка",,,,,,4
13764423,"Маймеча","Маймеча",,"Q1304679","ru:Маймеча",,4
3411234,"Малая Кеть",,,"Q4276968",,,13
19869585,"Малый Кас",,,"Q35495411",,,6
4480734,"Малый Кебеж",,,,,,10
2443574,"Малый Кемчуг",,,"Q6557062",,,19
4467225,"Малый Тайгиш",,,,,,3
180981,"Мана","Мана","Yenisei","Q178396","ru:Мана (река)","17010300512116100020100",29
3425488,"Мендель",,,"Q1920302","de:Mendel (Ket)",,9
179949,"Мойеро",,"Kotai","Q1851666","de:Moijero",,26
13497065,"Мурма",,,,,,8
16193912,"Нидым",,,"Q1470051","ru:Нидым (река)",,4
4522885,"Нижняя Ослянка",,,,,,4
173183,"Нижняя Тунгуска","Нижняя Тунгуска",,"Q26428","ru:Нижняя Тунгуска","17010700112116100061570",34
14030782,"Норильская",,,"Q1564509",,,2
18879327,"Нэлгэкэг",,"Туру","Q133464380",,,3
16703780,"Оккыльчор",,,"Q4060348","ru:Оккыльчор","15050000112115300064911",2
194251,"Орловка","Орловка","Ket'","Q599502","ru:Орловка (приток Кети)",,10
181981,"Оя","Оя","Yenisei","Q1111315","ru:Оя (река)",,24
3263548,"Пакулиха","Пакулиха",,"Q4342383","ru:Пакулиха","17010600112116100060101",5
4615650,"Парнушка","Парнушка",,,,,3
