id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
6418788,"Ведуга","Ведуга","Дон","Q4105852","ru:Ведуга","05010100812107000002198",52
6418789,"Гнилуша","Гнилуша","Ведуга","Q4140775","ru:Гнилуша (верхний приток Ведуги)","05010100812107000002235",12
3291595,"Клевень","Клевень","Сейм","Q4223161","uk:Клевень",,27
2179882,"Лещинка",,"Seym",,,,4
10718548,"Локня","Локня","Суджа","Q50401204","uk:Локня (притока Суджи)",,9
17417376,"Обеста","Обеста",,"Q12134885","uk:Обеста",,12
12274316,"Олым",,"Быстрая Сосна","Q1112194","ru:Олым",,23
13966938,"Олымчик",,,"Q15041951","ru:Олымчик",,3
8343867,"Оскол / Оскіл","Оскол","Сіверський Донець","Q540067","uk:Оскіл",,44
3169334,"Псел / Псёл","Псёл","Дніпро","Q1133871","uk:Псел",,75
157473,"Свапа","Свапа","Seym","Q2634263","ru:Свапа",,33
1745111,"Сейм","Сейм","Десна","Q738986","uk:Сейм (річка)",,85
11229503,"Снагость","Снагость","Сейм","Q46992376","uk:Снагість",,21
10718547,"Суджа",,"Псёл","Q4445406","ru:Суджа (река)",,14
2901892,"Тускарь",,,"Q4466576","ru:Тускарь",,20
11297315,"Удава","Удава","Псел","Q12163456","uk:Удава (притока Псла)",,17
157474,"Усожа",,"Svapa","Q4477883","ru:Усожа (приток Свапы)",,9
