id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
13954013,,"Авлога","Ладожское озеро","Q4055962","ru:Авлога","01040300212102000009157",18
13974556,"Helisevänjoki / Новосёловка","Новосёловка","Свободное","Q87923455","ru:Новосёловка (река, впадает в Свободное озеро)","01040300212102000009287",4
3824601,"Narva jõgi - Нарва","Нарва","Финский залив","Q209031","et:Narva jõgi","01030000412104100000010",32
11527721,"Rakkolanjoki / Селезнёвка","Селезнёвка","Финский залив","Q4413513","ru:Селезнёвка (река)","01040300512102000008041",63
14073022,"Santajoki / Песчаная","Песчаная","Финский залив","Q11892424","ru:Песчаная (река, впадает в Балтийское море)","01040300512102000007976",2
14000270,"Tervajoki / Полевая","Полевая",,"Q11897003","ru:Полевая (река, впадает в Выборгский залив)","01040300512102000008034",3
14077968,"Ащина","Ащина","Оять","Q4073625","ru:Ащина","01040100812102000013130",5
14000292,"Бегуновка","Бегуновка","Богатырское озеро","Q2657154","ru:Бегуновка","01040300212102000009416",9
14073080,"Булатная","Булатная","Вуокса","Q4098768","ru:Булатная (река)","01040300212102000009584",7
2120076,"Быстрянка","Быстрянка","Петлянка","Q4101225","ru:Быстрянка (приток Петлянки)","01040300512102000008294",4
10225158,"Важинка","Важинка","Свирь","Q501681","ru:Важинка","01040100712102000012431",250
3498676,"Валченка",,"Соминское озеро","Q4103030","ru:Валченка","08010200112110000006818",12
13989328,"Великая","Великая","Гладышевское озеро","Q14915421","ru:Великая (река, впадает в Гладышевское озеро)","01040300512102000008355",9
3498677,"Величка","Величка","Пионерское озеро","Q4106873","ru:Величка (река, впадает в Пионерское озеро)","01040300512102000008263",22
13971768,"Влоя","Влоя","Волхов","Q4113645","ru:Влоя (приток Волхова)","01040200612102000019568",8
16008964,"Внина",,,,,,12
14064797,"Воложба","Воложба","Сясь","Q4123818","ru:Воложба","01040300112102000018082",10
13962561,"Волочаевка","Волочаевка","Правдинское озеро","Q4124041","ru:Волочаевка (река)","01040300212102000009621",12
13954358,"Волхов","Волхов","Ладожское озеро","Q15243","ru:Волхов","01040200612102000018509",12
13948955,"Волчья","Волчья","Вуокса","Q2992716","ru:Волчья (приток Вуоксы)","01040300212102000009690",21
13971830,"Воронежка","Воронежка","Ладожское озеро","Q36560344","ru:Воронежка","01040300112102000018006",4
6927237,"Воронка","Воронка","Финский залив","Q4125575","ru:Воронка (река, впадает в Финский залив)","01030000712102000025468",6
13960291,"Вруда","Вруда","Луга","Q1153425","ru:Вруда (приток Луги)","01030000612102000026404",5
7390251,"Вуокса","Вуокса","Ладожское озеро","Q819448","ru:Вуокса (река)","01040300212102000009188",33
12386027,"Вьюн","Вьюн","Бурная","Q4130103","ru:Вьюн (река)","01040300212102000009768",24
3081982,"Гладышевка","Гладышевка","Чёрная речка","Q4139362","ru:Гладышевка","01040300512199000000270",6
12460576,"Гороховка","Гороховка","Finnish Gulf","Q4145810","ru:Гороховка (река, впадает в Финский залив)","01040300512102000008249",13
14068773,"Горюн","Горюн","Чагодоща","Q1072515","ru:Горюн","08010200112110000006740",4
3498709,"Грузинка","Грузинка",,"Q4150506","ru:Грузинка (река)","01040300212102000009775",18
17316545,"Грядка",,,,,,11
11527681,"Гусиная",,,,,,79
13967938,"Долгая","Долгая","Луга","Q3712631","ru:Долгая (приток Луги)","01030000612102000026473",14
3460111,"Дудергофка",,"Дудергофский канал","Q4170150","ru:Дудергофка","01030000712102000025338",33
17898980,"Дымовка","Дымовка",,"Q4171633","ru:Дымовка (река)","01040300212102000009317",18
13946214,"Еглинка","Еглинка","Тосна","Q4173631","ru:Еглинка (приток Тосны)","01040300312102000008784",6
13968282,"Ивина","Ивина",,"Q4197159","ru:Ивина","01040100712102000012097",64
3460115,"Ижора","Ижора","Нева","Q50844","ru:Ижора (река)","01040300312102000008890",46
13971677,"Камышовка","Камышовка","Гороховка","Q4212002","ru:Камышовка (приток Гороховки)","01040300512102000008270",5
13951649,"Капша","Капша","Паша","Q94706","ru:Капша","01040100812102000013499",18
14615272,"Караста",,,"Q4214235","ru:Караста",,11
14001528,"Кересть","Кересть","Волхов","Q4219560","ru:Кересть (река)","01040200612102000018776",10
3496171,"Кикенка",,,"Q4220399","ru:Кикенка (река)",,9
13990324,"Кобона","Кобона","Ладожское озеро","Q4225184","ru:Кобона (река)","01040300212102000025195",15
13952277,"Коваши",,"Балтийское море","Q4225719","ru:Коваши (река)","01030000712102000025413",7
5249518,"Колпанская",,,,,,31
14077945,"Колпь",,"Суда","Q263745","ru:Колпь (приток Суды)","08010200212110000007661",21
17890852,"Красновка","Красновка",,,,"01040300212102000009263",13
13964466,"Кременка","Кременка","Оредеж","Q50847","ru:Кременка (приток Оредежа)","01030000512102000025927",10
16030305,"Курба",,,"Q4247848","ru:Курба (приток Колошмы)",,3
13644652,"Кушелка","Кушелка","Плюсса","Q36564289","ru:Кушелка","01030000412102000027304",9
3500749,"Кямиши",,,,,,3
13945078,"Лава","Лава","Ладожское озеро","Q4251953","ru:Лава (река, впадает в Ладожское озеро)","01040300212102000025201",10
13968890,"Лебяжья","Лебяжья","Финский залив","Q4256118","ru:Лебяжья (река, впадает в Балтийское море)","01030000712102000025390",11
13947316,"Лемовжа","Лемовжа","Луга","Q3830139","ru:Лемовжа (река)","01030000612102000026169",8
3500751,"Лидь",,"Чагода","Q4261352","ru:Лидь (приток Чагоды)","08010200112110000006894",16
11234442,"Лосевка",,"Суходольское озеро","Q35374457","ru:Лосевка (река, впадает в Суходольское)","01040300212102000009751",7
3460119,"Лубья",,"Охта","Q4267799","ru:Лубья","01040300412102000009063",3
12391386,"Луга","Луга","Лужская губа","Q14684","ru:Луга (река)","01030000512102000025583",15
14064780,"Луненка","Луненка","Сясь","Q4269451","ru:Луненка (приток Сяси)","01040300112102000018327",5
13987747,"Лынна","Лынна","Сясь","Q4270600","ru:Лынна","01040300112102000018433",14
9576416,"Малая Ижорка",,,,,,19
13946427,"Мга","Мга","Нева","Q2632968","ru:Мга (река)","01040300312102000008685",15
13971691,"Мойка","Мойка","Нева","Q4299900","ru:Мойка (приток Невы)","01040300312102000008678",8
3498678,"Морье","Морье","Ладожское озеро","Q4303521","ru:Морье (река)","01040300212102000009119",9
16095468,"Мошница",,,"Q4305351","ru:Мошница (приток Внины)",,2
3461041,"Муринский ручей",,"Охта","Q4308062","ru:Муринский ручей","01040300412299000000010",17
13951444,"Назия","Назия","Ладожское озеро","Q4312317","ru:Назия (река)","01040300212102000025287",18
2811903,"Нева","Нева",,"Q645","ru:Нева","01040300312102000008487",46
18031935,"Нижняя","Нижняя",,"Q4319241","ru:Нижняя (приток Рощинки)","01040300512102000008386",3
16101941,"Нюгумуя",,,,,,4
16095467,"Олешница",,,,,,2
13971773,"Оломна","Оломна","Волхов","Q4333972","ru:Оломна (приток Волхова)","01040200612102000019490",4
13964876,"Олонец","Олонец",,,,,3
12386156,"Оредеж","Оредеж","Луга","Q14685","ru:Оредеж (река)","01030000512102000025828",42
3460124,"Охта",,"Нева","Q2369669","ru:Охта (приток Невы)","01040300412102000009032",33
13943702,"Оять",,"Свирь","Q299994","ru:Оять","01040100812102000012850",23
3500752,"Парица","Парица","Ижора","Q4345180","ru:Парица","01040300312102000008906",13
13944643,"Паша","Паша","Свирь","Q2087477","ru:Паша (приток Свири)","01040100812102000013277",12
13949792,"Перовка","Перовка","Краснохолмское озеро","Q4351652","ru:Перовка (река)","01040300512102000008157",10
13989329,"Петлянка",,"озеро Красавица","Q4360339","ru:Петлянка","01040300512102000008287",2
2469791,"Плюсса",,"Нарва","Q1807278","ru:Плюсса (река)","01030000412102000026703",24
3082054,"Приветная",,"Балтийское море","Q4377803","ru:Приветная (река)","01040300512102000008331",6
11358896,"Птичья",,,,,,6
14073081,"Пчелинка","Пчелинка","Булатная","Q4385026","ru:Пчелинка (приток Булатной)","01040300212102000009591",5
13945827,"Пчёвжа",,"Волхов","Q2377857","ru:Пчёвжа (река)","01040200612102000019049",16
14001529,"Равань","Равань","Тигода","Q1975682","ru:Равань","01040200612102000019292",8
3499412,"Ракитинка","Ракитинка","Кременка","Q4389349","ru:Ракитинка (приток Кременки)","01030000512102000025934",5
14022674,"Ретеша","Ретеша","Явосьма","Q4393682","ru:Ретеша","01040100812102000013475",5
4683706,"Россонь","Россонь","Луга","Q2034114","ru:Россонь","01030000612002000026667",3
3081902,"Рощинка",,"Чёрная речка","Q4398832","ru:Рощинка","01040300512102000008379",2
13967983,"Руя","Руя","Плюсса","Q4401372","ru:Руя (приток Плюссы)","01030000412102000027274",14
13967840,"Саба","Саба","Луга","Q2281047","ru:Саба (река)","01030000612102000026282",7
13990369,"Сарья","Сарья","Лава","Q4408908","ru:Сарья (приток Лавы)","01040300212102000025225",8
9909119,"Свирь","Свирь","Ладожское озеро","Q213067","ru:Свирь","01040100712102000011922",24
12391492,"Северный рукав Вуоксы",,,"Q819448","ru:Вуокса (река)",,18
3461070,"Сестра",,"Сестрорецкий Разлив","Q1327760","ru:Сестра (река, впадает в Сестрорецкий Разлив)","01040300512102000008416",23
6921687,"Систа","Систа","Балтийское море","Q4420886","ru:Систа (река)","01030000712102000025482",36
2811904,"Славянка",,"Нева","Q50885","ru:Славянка (приток Невы)","01040300312102000008975",39
16100631,"Смердомка",,,,,,4
13949502,"Смородинка","Смородинка","Волчья","Q4425222","ru:Смородинка (приток Волчьей)","01040300212102000009706",8
14068762,"Соминка",,"Вожанское озеро","Q4428679","ru:Соминка (река, впадает в Вожанское озеро)","08010200112110000006764",5
3081871,"Стрелка","Стрелка","Финский залив","Q54826","ru:Стрелка (река, впадает в Балтийское море)","01030000712102000025352",10
13956669,"Суйда","Суйда","Оредеж","Q54827","ru:Суйда (река)","01030000512102000025880",15
13986401,"Сясь","Сясь","Ладожское озеро","Q53484","ru:Сясь","01040300112102000018037",44
3500754,"Тензея","Тензея","Свирь","Q34967073","ru:Тензея","01040100812202000012802",27
13946005,"Тигода","Тигода","Волхов","Q517422","ru:Тигода (река)","01040200612102000019186",7
