id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
19283593,"Бахапча","Бахапча","Колыма","Q623303","ru:Бахапча","19010100212119000008981",5
7932564,"Большая Купка","Большая Купка","Буюнда",,,"19010100212119000016160",3
2780319,"Буюнда","Буюнда",,"Q1003209","ru:Буюнда","19010100212119000014784",3
3852323,"Гижига","Гижига",,"Q1971030","ru:Гижига (река)","19100000112119000134167",5
2805120,"Детрин","Детрин",,,,,5
3308153,"Кедон","Кедон",,"Q3601061","ru:Кедон",,4
170956,"Колыма","Колыма","Arctic Ocean","Q78879","ru:Колыма",,18
1850000,"Коркодон",,,,,,8
2779967,"Кулу","Кулу",,"Q2665346","ru:Кулу (река)","19010100112119000003444",6
3977581,"Намындыкан","Намындыкан",,,,,2
19279424,"Нера","Нера","Индигирка","Q2450540","ru:Нера (приток Индигирки)","18050000212117700044722",10
171318,"Омолон","Омолон","Колыма","Q1142842","ru:Омолон","19010200112119000047988",85
9357155,"Парень","Парень",,"Q4345091",,"19100000112120000053358",9
1849983,"Поповка","Поповка",,"Q1783646","ru:Поповка (приток Колымы)",,5
2659090,"Таскан","Таскан",,"Q3601074","ru:Таскан","19010100212119000012469",6
3852324,"Чёрная","Чёрная",,,,"19100000112119000134808",11
2418190,"Яма","Яма",,,,"19100000212119000138621",21
2541264,"Яна","Яна",,"Q1682477","ru:Яна (река, впадает в Охотское море)","19100000212119000142802",3
