id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
15886340,,,,,,,6
15886227,"Алекса",,,,,,11
15886550,"Алёшинка",,,,,,6
15886431,"Аргузовка",,,,,,2
15886348,"Артюшка",,,,,,5
2980987,"Банька",,"Москва","Q4077508","ru:Банька",,38
15886636,"Батынка",,,,,,5
15886332,"Бахарева",,,,,,13
15886633,"Белая",,,,,,11
15886547,"Беляна",,,"Q4083578","ru:Беляна (река)",,18
2162690,"Берега",,"Protva","Q4084200","ru:Берега (река)","09010100612110000022035",9
15886509,"Березинка",,,,,,2
15886796,"Березовка",,,"Q4085469","ru:Берёзовка (приток Нары)",,8
15886815,"Березовка",,,,,"09010100612110000022103",9
15886662,"Берёзка",,,,,,2
15886590,"Берёзовка",,,,,,1
15886275,"Бизяевка",,,,,,11
15886814,"Битца",,,"Q4087540","ru:Битца (река)",,66
15896546,"Бобровка",,,,,,11
15886319,"Болденка",,,,,,6
15886577,"Большая Вязёмка",,,,,,20
15886850,"Большая Дубна",,,,,,4
15886860,"Большая Сестра",,,"Q4091674","ru:Большая Сестра (река)",,9
15886441,"Большая Ушма",,,"Q4091751","ru:Большая Ушма",,2
15886721,"Большое Смедово (Смедва)",,,,,,3
15886294,"Братовка",,,"Q19907826","ru:Братовка (река)",,11
15886453,"Бровка",,,"Q4470326","ru:Бровка (приток Вожи)","09010102012110000024855",2
15886289,"Бродок",,,,,,2
2336790,"Бужа",,,"Q4098288","ru:Бужа",,32
15886216,"Быковка",,,"Q15985174","ru:Быковка (приток Москвы)",,6
15886325,"Бычек",,"Rut'","Q4101281","ru:Бычек (приток Рути)","09010100612110000022073",5
15886209,"Васса",,,,,,14
15886794,"Ведомка",,,"Q4105826","ru:Ведомка",,19
15886750,"Велегушка",,,"Q4106138","ru:Велегушка",,5
187358,"Велинка",,,"Q4106842","ru:Велинка",,4
15886613,"Вельга",,,"Q4106969","ru:Вельга (приток Ламы)",,8
15886602,"Велья",,,,,,3
15886414,"Веля",,,"Q4107048","ru:Веля",,12
15886417,"Верходубенка",,,,,,7
15886186,"Ветелка",,,,,,3
15886328,"Вешка",,,,,,10
15886479,"Вобля",,,,,"09010102012110000024701",23
15886833,"Воинка",,,,,,4
15886512,"Воймега",,,,,,4
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
4573915,"Волгуша",,,,,,9
15886584,"Волгуша",,,,,"08010100811110000000974",15
15886238,"Волошенский поток",,,,,,9
15886607,"Волчак",,,,,,6
4035338,"Вольная",,,,,,4
15886403,"Вондига",,,,,,13
270827,"Воря",,"Ugra","Q3436849","ru:Воря (приток Угры)",,22
15886859,"Воря","Воря",,"Q2299048","de:Worja (Kljasma)",,22
15886682,"Востец",,,"Q4126401","ru:Востец",,3
15886754,"Вохонка",,,"Q4383003",,,11
15886434,"Вьюлка",,,"Q4130100","ru:Вьюлка",,3
15886375,"Вьюнка",,,"Q4130109","ru:Вьюнка (река)",,16
15886596,"Вяз",,,,,,18
15886282,"Вязь",,,,,,5
15886576,"Вязёмка",,,"Q4130378","ru:Вязёмка",,5
15886795,"Гвоздня",,,"Q4134573","ru:Гвоздня (приток Нары)",,11
15886829,"Гжелка",,,"Q4137860","ru:Гжелка",,17
15886472,"Гнилуша",,,,,,10
15886697,"Гнилуша",,,"Q4140778","ru:Гнилуша (приток Москвы)",,10
15886698,"Гнилуша",,,,,,5
15886276,"Горенка",,,"Q4144077","ru:Горенка (приток Пехорки)",,15
15886840,"Горетовка",,,"Q4144106","ru:Горетовка (река)",,31
15886691,"Городенка",,,,,,8
15886647,"Городянка",,,,,,8
15886787,"Городёнка",,,,,,7
15886293,"Грачёвка",,,"Q21043293","ru:Грачёвка (приток Химки)",,4
15886490,"Гремуха",,,,,,3
15886821,"Гряда",,,"Q4151051","ru:Гряда (река)",,11
15886535,"Грязева",,,"Q4151072",,,10
15886287,"Грязевка",,,,,,4
183533,"Гуслица",,,"Q2378432","ru:Гуслица",,6
15886842,"Гуслица",,,"Q2378432","ru:Гуслица",,5
15886353,"Демшенко",,,,,,3
15886762,"Дергаевка",,,,,,26
2469469,"Десна","Десна","Пахра","Q4159198","ru:Десна (приток Пахры)",,49
15886841,"Десна",,,,,"09010101812110000024324",15
15886763,"Донинка",,,,,,23
1076756,"Донховка",,"Volga","Q4166465","ru:Донховка",,7
15886767,"Дорка",,,,,,13
15886732,"Дороховка",,,,,,3
15886755,"Дрезна",,,,,,16
15886852,"Дубенка",,,,,,2
15886805,"Дубешня","Дубешня",,"Q4169121","ru:Дубешня","09010101312110000023452",11
15886856,"Дубна",,,"Q1164831","ru:Дубна (приток Волги)","08010100812110000003066",37
15886173,"Дятлинка",,,,,,5
