id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
6609071,,,,,,,3
14168646,"Sametielva",,,"Q30322475",,,3
6609069,"Tuntsajoki / Тунтсайоки","Тунтсайоки","Тумча","Q2992691","ru:Тунтсайоки","02020000512102000000887",22
15961105,"Аннама","Аннама",,"Q4066612","ru:Аннама","02010000312101000002445",5
14432797,"Аннын","Аннын","Ура","Q4066782","ru:Аннын","02010000612101000000943",5
6610772,"Ахкио-оя","Ахкио-оя",,,,"02020000512102000001075",6
14026530,"Ачерйок","Ачерйок","Поной","Q4073348","ru:Ачерйок","02020000112101000006619",2
14359927,"Белокаменка","Белокаменка",,"Q4082498","ru:Белокаменка (река)","02010000612101000001049",23
386846,"Большая","Большая",,,,"02020000211101000009480",3
14411992,"Большая Тюва","Большая Тюва","Кольский залив","Q4091736","ru:Большая Тюва","02010000612101000003074",2
13992394,"Варзуга","Варзуга","Белое море","Q1516741","ru:Варзуга (река)","02020000212101000007653",6
13992537,"Воронья","Воронья","Баренцево море","Q1191116","ru:Воронья","02010000712101000003363",6
15534981,"Елдыш","Елдыш","Нижний Селес","Q4174642","ru:Елдыш","02010000412101000001379",6
14447530,"Енойок","Енойок","Авраманъявр","Q4175683","ru:Енойок","02010000912101000004801",4
14138873,"Западная",,,,,,9
19285687,"Западная Лица",,,"Q1654758",,,10
15054136,"Зарубиха","Зарубиха","Кильдинский пролив","Q4187616","ru:Зарубиха (река, впадает в Кильдинский пролив)","02010000612101000003142",3
13956783,"Золотая",,"Баренцево море","Q4193173","ru:Золотая (река, впадает в Баренцево море)","02010000912101000004399",13
13992434,"Иоканга","Иоканга","Баренцево море","Q1671984","ru:Иоканга","02010000912101000004948",9
19220971,"Кана",,,"Q2469170",,,5
14440190,"Карнойоки","Карнойоки",,"Q4215576","ru:Карнойоки","02010000312101000002230",4
14445858,"Кица","Кица","Умбозеро","Q36534288","ru:Кица (река, впадает в Умбозеро)","02020000212101000009237",2
14390139,"Княжая","Княжая",,"Q4224820","ru:Княжая (река, впадает в Ковдозеро)","02020000612102000001494",12
6742514,"Кола","Кола","Кольский залив","Q1149171","ru:Кола (река)","02010000512101000002634",12
6503751,"Красненькая",,,,,,22
15568781,"Курбыш","Курбыш",,"Q4247948","ru:Курбыш (приток Пауста)","02010000312101000002599",4
14434695,"Лавна","Лавна","Кольский залив","Q36533631","ru:Лавна","02010000612101000001070",5
14026467,"Лосинга","Лосинга","Поной","Q4267202","ru:Лосиньга","02020000112101000006220",3
14000449,"Лотта","Лотта",,"Q1871142","ru:Лотта","02010000312101000002049",9
14445856,"Майвальтайок","Майвальтайок",,"Q14914746","ru:Майвальтайок",,8
15534983,"Максимка","Максимка",,"Q4276151","ru:Максимка (река)",,6
14386083,"Малая Лавна","Малая Лавна","Лавна","Q4277043","ru:Малая Лавна","02010000612101000001100",9
14358665,"Малая Олёнка","Малая Олёнка",,"Q4277172","ru:Малая Олёнка","02010000912101000004283",3
14411993,"Малая Тюва","Малая Тюва",,"Q4277434","ru:Малая Тюва","02010000612101000003135",7
13992567,"Нива","Нива",,"Q1075158","ru:Нива (река)","02020000312101000009564",5
389835,"Низьма","Низьма","Умба","Q36533014","ru:Низьма (протока Умбы)","02020000212101000008919",24
15568783,"Нойда","Нойда","Солозеро","Q4327088","ru:Нойда","02010000312101000002582",4
14000385,"Нота","Нота",,"Q4327665","ru:Нота (река)","02010000312101000001547",7
14358664,"Олёнка","Олёнка","Баренцево море","Q4334518","ru:Олёнка (река, впадает в Баренцево море)","02010000912101000004269",2
2864884,"Патсойоки / Pasvikelva / Paatsjoki","Патсойоки","Баренцево море","Q524612","ru:Паз (река)","02010000112101000000016",14
15568782,"Пауст","Пауст",,"Q4347237","ru:Пауст","02010000312101000002575",10
2833449,"Письем","Письем","Пермусозеро","Q4363721","ru:Письем","02020000312101000010331",2
9550826,"Поной","Поной","Белое море","Q1075070","ru:Поной","02020000112101000005650",23
15051083,"Рында","Рында","Баренцево море","Q1532609","ru:Рында (река)","02010000912101000004313",6
3791079,"Сергевань","Сергевань",,,,,5
14377713,"Синьга","Синьга","Сергозеро","Q4420501","ru:Синьга (река, впадает в Сергозеро)","02020000212101000008278",4
15464262,"Средняя",,"Кольский залив","Q35360796","ru:Средняя (река, впадает в Баренцево море)","02010000612101000003029",13
13992368,"Стрельна","Стрельна","Белое море","Q2096294","ru:Стрельна (река, впадает в Белое море)","02020000212101000007318",3
14447513,"Сухая","Сухая","Иоканга","Q534549","ru:Сухая (приток Йоканги)","02010000912101000005112",4
14445855,"Тавайок","Тавайок","Умбозеро","Q4130996","ru:Тавайок","02020000212101000009190",2
15535106,"Тальша","Тальша","Улита","Q4450720","ru:Тальша (приток Улиты)","02010000412101000001348",3
15431185,"Титовка","Титовка",,"Q2096308","ru:Титовка (река, впадает в Баренцево море)","02010000612101000000622",6
15052618,"Туельм","Туельм","Кацким","Q4464957","ru:Туельм","02010000312101000001981",3
14000358,"Тулома","Тулома","Кольский залив","Q1341908","ru:Тулома","02010000312101000001127",5
2852936,"Тульйок","Тульйок","Умбозеро","Q4465208","ru:Тульйок","02020000212101000009046",11
6816183,"Тумча","Тумча","Тумчаозеро","Q2299714","ru:Тумча","02020000512102000000887",5
14445854,"Тымшаеуайв",,"Тульйок","Q4467055","ru:Тымшаеуайв","02020000212101000009060",2
2811301,"Умба","Умба","Белое море","Q1509288","ru:Умба (река)","02020000212001000008622",50
13966833,"Харловка","Харловка","Баренцево море","Q1067467","ru:Харловка (река)","02010000912101000004436",4
20082543,"Хлебная","Хлебная","Белое море","Q35427459","ru:Хлебная (река, впадает в Кандалакшский залив)","02020000212101000008575",3
13992536,"Цага","Цага","Ловозеро","Q4502996","ru:Цага","02010000812101000004109",4
15568780,"Чинглис","Чинглис","Курбыш","Q4516067","ru:Чинглис","02010000312101000002605",3
14445857,"Чуда","Чуда","Умбозеро","Q4517588","ru:Чуда","02020000212101000009107",7
13748950,"Эйнч","Эйнч",,"Q4530076","ru:Эйнч","02010000812101000003812",8
6609070,"Эньянйоки",,,,,"02020000512102000001082",10
14026756,"Югонька","Югонька","Поной","Q4533702","ru:Югонька","02020000112101000006565",3
14377689,"Юлица","Юлица","Кица","Q4534364","ru:Юлица","02020000212101000008315",5
15052635,"Юмос","Юмос",,"Q4534469","ru:Юмос (река)","02010000312101000002506",7
