id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
18296586,"Адзьва","Адзьва","Уса","Q378723","ru:Адзьва","03050200112103000070166",10
14339249,"Белая","Белая","Индига","Q14943359","ru:Белая (приток Индиги)","03040000112103000055452",2
17310377,"Белокаменная",,,,,,9
14313667,"Блудная",,"Косма","Q4088377","ru:Блудная (приток Космы)","03050300212103000079103",3
17310156,"Большая Бугряница",,,,,"03030000312103000051714",64
14312408,"Большая Пула",,"Сула","Q2582429","ru:Большая Пула","03050300212103000083100",3
14312414,"Большая Янгыта",,"Сула","Q4091818","ru:Большая Янгыта","03050300212103000083469",4
17310379,"Большой Мязгин",,,,,,22
18099241,"Вижас","Вижас",,"Q1088073","ru:Вижас (река)","03040000112103000053007",2
20053157,"Волонга","Волонга",,"Q3720892","ru:Волонга (река)","03040000112103000054851",2
4777454,"Воркута","Воркута","Уса","Q1199347","ru:Воркута (река)","03050200112103000066138",5
15432294,"Городецкая",,,"Q4145079","ru:Городецкая (река)",,6
2173454,"Индига","Индига","Баренцево море","Q2715455","ru:Индига","03040000112103000055247",4
191580,"Кара","Кара","Arctic Ocean","Q2425552","ru:Кара (река)","15010000112103000090127",10
18294377,"Колва","Колва","Уса","Q1462981","ru:Колва (приток Усы)","03050200112103000071842",5
17310369,"Копыльная",,,,,,14
14310438,"Косма","Косма","Цильма","Q2393042","ru:Косма (река)","03050300212103000079059",5
15432292,"Кубриха",,,"Q4244149","ru:Кубриха",,2
14002969,"Лая","Лая","Печора","Q391093","ru:Лая (приток Печоры)","03050300112103000073379",7
15317610,"Лиственичная",,,"Q4263371","ru:Лиственничная (река, впадает в озеро без названия)",,3
17310315,"Малая Бугряница",,,,,"03030000312103000051738",27
16193881,"Море-Ю","Море-Ю",,"Q2976838","ru:Море-Ю","03060000112103000086726",2
14310440,"Мота","Мота","Маты","Q4304778","ru:Мота (приток Маты)","03050300212103000079196",4
18099026,"Несь","Несь",,"Q94881","ru:Несь (река)","03030000312103000050984",2
14313163,"Ома","Ома","Баренцево море","Q2022979","ru:Ома (река)","03040000112103000053328",5
15809309,"Омица",,,"Q6748816","ru:Омица","03040000112103000053823",2
14600720,"Перепуск",,,"Q6747600","ru:Перепуск","03040000112103000052925",4
17310346,"Песцовая",,,,,"03030000312103000051745",41
255408,"Печора","Печора","Barents Sea","Q8168","ru:Печора","03050100112103000057306",79
15317609,"Пятумбой",,,"Q4386018","ru:Пятумбой",,3
14312516,"Пёша","Пёша","Баренцево море","Q2982641","ru:Пёша","03040000112103000054110",3
15432293,"Русская",,,"Q35318296","ru:Русская (река, впадает в Городецкое)",,3
17310139,"Сальница",,"Белое море",,,"03030000312103000051707",46
6743103,"Серчейю","Серчейю","Лая","Q4417853","ru:Серчейю","03050300112103000073560",6
191684,"Силоваяха","Силоваяха","Кара","Q1088261","ru:Силоваяха","15010000112103000090776",4
15810459,"Снопа","Снопа","Баренцево море","Q13405638","ru:Снопа (река)","03040000112103000053861",11
14600719,"Средняя",,,"Q6747012","ru:Средняя Река","03040000112103000052963",3
14312404,"Сула","Сула","Печора","Q2301292","ru:Сула (приток Печоры)","03050300212103000082769",7
16195289,"Таб-Ю",,,"Q6945817",,,8
18293865,"Шапкина",,"Печора","Q2593052","ru:Шапкина (река)","03050300212103000081922",15
17657582,"Шойна",,,"Q19900782",,"03030000312103000051486",7
17313245,"бассейн реки Месна",,,"Q6743392",,"03030000312103000051608",431
