id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3627174,"Алатырь","Алатырь",,"Q1056521","ru:Алатырь (река)","08010500212110000037782",38
16305098,"Белый Лух",,"Унжа","Q3724736","ru:Белый Лух",,2
1427201,"Большая Великуша",,"Керженец",,,"8010400312110000034783",6
16607149,"Большой Утрас",,,"Q4092914","ru:Большой Утрас",,2
3638399,"Вачка","Вачка",,"Q4105505","ru:Вачка (приток Мени)",,7
3635677,"Ведяжа","Ведяжа",,"Q4105869","ru:Ведяжа",,3
17136562,"Вейка","Вейка",,"Q4105972","ru:Вейка",,2
14326019,"Велетьма",,,"Q4106169","ru:Велетьма (приток Оки)",,10
382593,"Ветлуга","Ветлуга","Volga","Q467419","ru:Ветлуга (река)",,35
3388017,"Висец",,,,,"08010400212110000043793",11
3611516,"Вичкинза","Вичкинза",,"Q4112605","ru:Вичкинза",,3
16305058,"Водгать",,,"Q3724274","ru:Водгать (нижний приток Унжи)",,5
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
5011509,"Дорогуча",,"Волга",,,,8
7647713,"Дудоровка",,,,,,4
3611567,"Ермишь","Ермишь",,"Q4176562","ru:Ермишь (река)",,10
14325930,"Железница",,,"Q85599","ru:Железница (приток Волги)",,13
3626338,"Илевка","Илевка",,"Q4199201","ru:Илевка",,4
17133613,"Иресть","Иресть",,"Q4203146","ru:Иресть",,15
4091620,"Каска",,"Ока","Q4216593","ru:Каска (приток Оки)",,36
382591,"Керженец","Керженец","Volga","Q1344442","ru:Керженец","08010400312110000034448",23
1619658,"Кишма",,"Oka","Q4222699","ru:Кишма",,40
2094452,"Клязьма","Клязьма","Ока","Q12556970","ru:Клязьма",,82
3643790,"Кутукс","Кутукс",,"Q4249665","ru:Кутукс",,1
382596,"Линда",,"Volga","Q4261922","ru:Линда (приток Волги)",,15
2649834,"Люнда",,"Ветлуга",,,,51
3611566,"Мердуш","Мердуш",,"Q4290791","ru:Мердуш",,4
1238849,"Мокша","Мокша","Oka","Q595213","ru:Мокша (река)","09010200112110000026769",184
163223,"Ока","Ока","Volga","Q172089","ru:Ока","09010100112110000017555",170
2921234,"Пижма",,"Вятка","Q304530","ru:Пижма (приток Вятки)","10010300412111100036375",41
16643940,"Поеж",,,"Q3724393","ru:Поеж","08010300312110000016638",2
7244603,"Посташ",,"Рутка",,,,5
3638455,"Пьяна","Пьяна",,"Q1460130","ru:Пьяна",,68
3638428,"Пьянка","Пьянка",,"Q4385545","ru:Пьянка (приток Пьяны)","08010500412110000039371",6
3627173,"Рудня","Рудня",,"Q4399686","ru:Рудня (река)",,32
2647906,"Рутка","Рутка","Волга","Q1970811","ru:Рутка","08010400312110000043938",18
3638433,"Саля","Саля",,"Q4406252","ru:Саля (приток Пьяны)",,15
1424615,"Санохта",,"Керженец",,,"08010400312110000034745",2
3638434,"Сарга","Сарга",,"Q4408536","ru:Сарга (приток Пьяны)",,1
3626339,"Сарма","Сарма",,"Q4378506","ru:Сарма (приток Мокши)",,2
3611518,"Сатис","Сатис",,"Q4409015","ru:Сатис (река)",,31
15618000,"Сезух",,"Лух","Q4390094","ru:Сезух (приток Луха)",,3
370057,"Сейма",,"Oka","Q4413138","ru:Сейма",,8
2631798,"Серёжа",,"Тёша","Q1108982","de:Serjoscha (Tjoscha)",,97
15763722,"Сундовик","Сундовик",,"Q4446120","ru:Сундовик (река)",,3
2237505,"Сура","Сура","Volga","Q209891","ru:Сура (приток Волги)","08010500112110000035062",149
3626425,"Сухой Сатис","Сухой Сатис",,"Q20622140","ru:Сухой Сатис",,8
377999,"Тёша",,"Oka","Q1514207","ru:Тёша (река)",,47
384545,"Узола",,"Volga","Q1973485","ru:Узола",,4
305752,"Унжа","Унжа","Горьковское водохранилище","Q1431174","ru:Унжа (приток Волги)","08010300312110000014368",13
2318303,"Урга",,,,,"08010500412110000040124",45
383753,"Уста",,"Ветлуга","Q613482","ru:Уста (река)","08010400212110000043045",19
3635763,"Шокша","Шокша",,,,,7
15983919,"Юг",,,,,,2
3200083,"Ялокша",,,,,,8
