id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
16008977,"Белая",,,,,,2
16008987,"Белая",,,,,,6
14131235,"Веряжа",,"Ильмень","Q4109295","ru:Веряжа (река)","01040200512102000025157",25
13996392,"Вишера","Вишера","Малый Волховец","Q2423900","ru:Вишера (приток Малого Волховца)","01040200612102000018530",3
13954358,"Волхов","Волхов","Ладожское озеро","Q15243","ru:Волхов","01040200612102000018509",12
2739512,"Загарка","Загарка","Ловать","Q4183401","ru:Загарка","01040200312102000023704",7
16008983,"Кать",,,,,,14
14001528,"Кересть","Кересть","Волхов","Q4219560","ru:Кересть (река)","01040200612102000018776",10
16008976,"Кирва",,,,,,4
14064932,"Кобожа","Кобожа","Молога","Q2711631","ru:Кобожа","08010200112110000006474",16
16008984,"Колодня",,,,,,3
14075084,"Круппа",,"Мста","Q4242266","ru:Круппа (река)","01040200212102000020759",10
19289231,"Кунья",,,"Q2560306",,,19
14076074,"Ланошенка",,"Хуба","Q4253982","ru:Ланошенка","01040200212102000021596",9
2824507,"Ловаць","Ловать","озеро Ильмень","Q255379","be:Ловаць","01040200312102000022592",59
12391386,"Луга","Луга","Лужская губа","Q14684","ru:Луга (река)","01030000512102000025583",15
6602977,"Лужня",,,,,,4
14077293,"Мда",,"Мста","Q4286527","ru:Мда","01040200212102000021237",11
184371,"Молога","Молога","Рыбинское водохранилище","Q1133858","ru:Молога (река)","08010200112110000005248",35
13985329,"Мста","Мста","Ильмень","Q1139404","ru:Мста","01040200212102000019715",31
13996524,"Мшага","Мшага","Шелонь","Q15041952","ru:Мшага (река)","01040200412102000024908",14
14073251,"Ниша","Ниша","Ильмень","Q4321736","ru:Ниша (река)","01040200512102000021661",3
14077292,"Ольха",,"Мда","Q4334192","ru:Ольха (приток Мды)","01040200212102000021244",3
13965262,"Оскуя","Оскуя","Волхов","Q4338011","ru:Оскуя","01040200612102000018929",4
14073391,"Перетна",,"Мста","Q4351003","ru:Перетна","01040200212102000020940",3
14068665,"Перехода",,"Ильмень","Q4351207","ru:Перехода (река)","01040200512102000024235",20
14064879,"Песь",,"Чагодоща","Q2995318","ru:Песь (река)","08010200112110000006962",8
14034479,"Пола","Пола","Ильмень","Q2415273","ru:Пола","01040200312102000021830",18
14034089,"Полисть","Полисть","Ловать","Q2276055","ru:Полисть (приток Ловати)","01040200312102000023919",5
14034550,"Полометь","Полометь","Пола","Q377694","ru:Полометь","01040200312102000022233",8
14077330,"Полона",,"Мста","Q4370614","ru:Полона (приток Мсты)","01040200212102000021091",5
13945827,"Пчёвжа",,"Волхов","Q2377857","ru:Пчёвжа (река)","01040200612102000019049",16
14001529,"Равань","Равань","Тигода","Q1975682","ru:Равань","01040200612102000019292",8
14064910,"Ратца",,"Песь","Q4379290","ru:Ратца","08010200112110000007051",12
16311372,"Сивельба",,,,,,3
16100631,"Смердомка",,,,,,4
13686656,"Съежа",,"Уверь","Q4447828","ru:Съежа","01040200212102000020643",10
13986401,"Сясь","Сясь","Ладожское озеро","Q53484","ru:Сясь","01040300112102000018037",44
13946005,"Тигода","Тигода","Волхов","Q517422","ru:Тигода (река)","01040200612102000019186",7
13686655,"Уверь",,"Мста","Q2370045","ru:Уверь","01040200212102000020421",2
13996320,"Холова",,"Мста","Q2374547","ru:Холова","01040200212102000021435",4
14076075,"Хуба",,"Мста","Q4502026","ru:Хуба (река)","01040200212102000021572",12
14074558,"Шегринка",,"Мста","Q4522349","ru:Шегринка","01040200212102000020902",9
13991152,"Шелонь","Шелонь","Ильмень","Q1047568","ru:Шелонь","01040200412102000024311",12
14064838,"Шуя","Шуя","Сясь","Q4528197","ru:Шуя (приток Сяси)","01040300112102000018044",2
