id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
2796289,,,,,,,3
11549897,"Ача",,,,,,7
153986,"Бердь","Бердь","Ob","Q818861","ru:Бердь",,20
10052578,"Бердь",,,,,,8
8991786,"Большая Чёрная",,"Томь",,,,9
2638870,"Большой Барлак",,,,,,7
9118933,"Бурла",,,,"ru:Бурла (река)",,33
13502078,"Бухтуйка",,,,,,2
3459620,"Верхняя Тунгуска",,,,,,4
2796174,"Дресвянка",,,,,"13010200412115200003248",3
10048862,"Елбань",,,,,"13010200512115200004626",5
6320718,"Зункуй",,"Тартас","Q4194718","ru:Зункуй",,4
192321,"Иня","Иня","Ob","Q955455","ru:Иня (нижний приток Оби)",,57
2900149,"Иня",,"Ob","Q19742767",,"13010200512115200003537",15
5597051,"Кама","Кама",,,,,10
1758448,"Каменка",,,,,"13010200712115200006574",21
1758589,"Карасук",,,,,"13020000412115200052645",28
2645104,"Каргат","Каргат",,,,,20
14639631,"Кривая",,"Боровлянка",,,,2
11549896,"Лебяжья",,,,,,34
7155638,"Майзас",,"Тара","Q756963","ru:Майзас (приток Тары)","14010100312115300005655",7
10098355,"Моховка",,"Бердюшиха",,,,3
2469254,"Обь","Обь","Gulf of Ob","Q973","ru:Обь",,84
1115055,"Омь","Омь","Иртыш","Q641923","ru:Омь","14010200112115300004626",73
8028772,"Оёш",,,,,,3
6320748,"Ракитовка",,"Тартас","Q4389414","ru:Ракитовка (приток Тартаса)",,1
2822516,"Сузун",,"Ob",,,,5
13501924,"Талица",,"Чумыш",,,,8
1128557,"Тара","Тара","Irtysh","Q705896","ru:Тара (приток Иртыша)",,76
1177093,"Тартас",,"Om River","Q518224","ru:Тартас",,33
1191940,"Тула",,,,,"13010200712115200006550",20
14425009,"Угуйка",,,"Q4469214","ru:Угуйка",,7
1130018,"Уй","Уй","Irtysh","Q743181","de:Ui (Irtysch)",,46
6320547,"Ургулька",,"Тартас","Q4476917","ru:Ургулька",,1
2667297,"Урез","Урез",,,,,5
15559647,"Чесноковка",,,"Q4458786","ru:Чесноковка (приток Пороса)",,6
6881973,"Чик",,,,,,13
2648632,"Чёка",,,,,,8
