id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
2741311,"Ава",,"Иртыш",,,"14010100312115300007918",10
2831205,"Ава",,"Иртыш",,,"14010100312115300007994",8
5598094,"Ачаирка",,,,,,5
2886780,"Аю",,,,,,6
3621757,"Бергамак",,,,,,12
3626746,"Березовка",,,,,,7
2858528,"Бича",,"Irtysh",,,,3
4008546,"Большая",,,,,,19
2828089,"Большая Бича",,"Большая Бича",,,,8
14404670,"Большая Тава",,,"Q2603632","ru:Большая Тава",,8
7831555,"Большой Аёв","Большой Аёв","Оша",,,"14010100212115300006691",8
7831554,"Большой Нягов","Большой Нягов","Большой Аёв",,,"14010100212115300006769",5
2896293,"Большой Тайтым",,,,,,4
3472823,"Большой Ук",,,,,,4
3459620,"Верхняя Тунгуска",,,,,,4
157622,"Есіл","Ишим","Irtysh","Q191524","kk:Есіл",,201
3371114,"Ибейка",,,,,,7
2998371,"Ик",,,,,,7
2098340,"Иртыш","Иртыш","Обь","Q128102","mn:Эрчис мөрөн","14010100112115300000027",266
3361500,"Исас",,,,,,6
2768608,"Итюгас",,,,,,4
7831207,"Камышловка","Камышловка","Иртыш",,,"14010100312115300005235",30
2732367,"Карасук",,"Тенис",,,"14010100212115300006615",12
2833147,"Килик",,,,,,3
14419404,"Китап",,,"Q32508725","ru:Китап (река)",,5
3048378,"Куяры",,,,,,7
2924405,"Кыртовка",,,,,,5
2826748,"Малая Бича",,"Большая Бича",,,,14
2744911,"Малый Тевриз",,,,,,2
2748062,"Мисс",,,,,,16
3608386,"Нижняя Тунгуска","Нижняя Тунгуска",,,,,9
1115055,"Омь","Омь","Иртыш","Q641923","ru:Омь","14010200112115300004626",73
3197234,"Оша","Оша","Иртыш","Q2625817","ru:Оша","14010100212115300006547",46
13240238,"Саргатка",,,,,,25
2983818,"Северная",,,,,,4
2861903,"Сик",,"Туй",,,,6
2855849,"Таимтаит",,,,,,6
1128557,"Тара","Тара","Irtysh","Q705896","ru:Тара (приток Иртыша)",,76
2744617,"Тевриз",,,,,,13
3114215,"Тимирка",,,,,,8
2952308,"Тугры",,,,,,4
177990,"Туй",,,"Q781451","de:Tui (Fluss)",,49
19124999,"Тілеусай - Тлеусай","Тлеусай",,,,,8
1130018,"Уй","Уй","Irtysh","Q743181","de:Ui (Irtysch)",,46
2945065,"Укратус",,,,,,5
15396840,"Уразай",,,"Q4742163","ru:Уразай",,8
2886486,"Уралью",,,,,,6
1131308,"Шиш",,"Irtysh","Q2469390","de:Schisch (Fluss)","14010100312115300006782",34
