id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3906037,,,,,,,5
15964370,"Ёга",,,,,,15
15959726,"Азясь",,,,,"09010200112110000026783",3
5941629,"Айва",,"Сура","Q4058734","ru:Айва (приток Суры)",,20
3638396,"Акшенас","Акшенас",,"Q4060326","ru:Акшенас",,8
3906032,"Александровка","Александровка",,,,,2
5302796,"Ардым",,"Пенза",,,,20
15964375,"Аришка",,,,,"08010500312110000036364",2
3906038,"Арчада","Арчада",,"Q3721002","ru:Арчада",,38
15962314,"Аряш",,,"Q13209068","ru:Аряш (река)",,2
15956417,"Атмис",,,,,,24
15959695,"Байка",,,,,,11
3622094,"Бель","Бель",,"Q4083201","ru:Бель (приток Чиуша)",,7
5398890,"Буртас",,,,,,16
15959719,"Бутурлинка",,,,,,7
3608749,"Вад","Вад","Мокша","Q1146507","ru:Вад (река)","09010200412110000028258",133
7365654,"Вершаут",,"Уза","Q4109230","ru:Вершаут","08010500112110000035703",10
1282424,"Ворона","Ворона","Khopyor River","Q1313548","ru:Ворона (приток Хопра)",,84
4010764,"Выша","Выша",,"Q1112136","ru:Выша (река)",,57
15964350,"Вышелей",,,"Q4129989","ru:Вышелей","08010500312110000036166",8
15815997,"Вьяс","Вьяс",,"Q4130133","ru:Вьяс",,20
5366628,"Вядя",,"Сура",,,,10
15956452,"Вязовка",,,,,,5
15964340,"Вязовка",,,,,,2
15964324,"Гай",,,,,,4
3906033,"Грязнуха","Грязнуха",,,,,4
15964332,"Гулянка",,,,,,2
15964372,"Дерилейка",,,"Q4158953","ru:Дерилейка","08010500112110000035239",2
15964371,"Дмитриевка",,,,,,2
15959714,"Долгобазан",,,"Q4164525","ru:Долгобазан","08010500112110000035666",2
5344761,"Елань",,"Пенза",,,"08010500312110000035954",11
15962491,"Елюзань",,,,,,8
15959716,"Иванырс",,,,,,17
15956440,"Ижморка",,,,,,3
15959712,"Илим",,,,,"08010500112110000035291",23
7253174,"Инза",,"Сура","Q4201050","ru:Инза (река)",,6
3621362,"Исса","Исса",,"Q4204257","ru:Исса (приток Мокши)",,61
15959701,"Ишимка",,,,,"08010500112110000035482",8
3775996,"Кадада",,,"Q2603624","ru:Кадада","08010500112110000035260",51
15964359,"Казарка",,,"Q4207966","ru:Казарка (приток Айвы)","08010500312110000036333",2
5304086,"Каменка",,"Ардым",,,,6
15962318,"Каменка",,,,,,2
15962492,"Камешкир",,,,,,3
3651699,"Камора","Камора",,"Q4211681","ru:Камора (река)",,9
15964356,"Камышинка",,,,,,7
3622060,"Каренка","Каренка",,"Q4214968","ru:Керенка (приток Вада)",,10
15959710,"Каслей-Кадада","Каслей-Кадада",,"Q4216655","ru:Каслей-Кадада","08010500112110000035314",16
15964373,"Катмисс",,,"Q4217421","ru:Катмисс","08010500112110000035222",21
15956447,"Каурец","Каурец",,,,,18
8272481,"Кашкамяк",,"Уза","Q4218203","ru:Кашкамяк","08010500112110000035680",5
15959696,"Кеньша",,,"Q4219450","ru:Кеньша","08010500312110000036500",2
15956416,"Керка",,,,,"09010200112110000026868",5
15956433,"Кермись",,,,,,6
3617902,"Кита","Кита",,"Q4222348","ru:Кита (река)",,13
15959702,"Колдаис","Колдаис",,,,,17
15962317,"Колемас",,,,,,2
5295309,"Колышлейка",,,,,,32
3611190,"Котёл","Котёл",,"Q4236383","ru:Котёл (приток Вада)",,11
15956427,"Крутец","Крутец",,,,,3
3652115,"Кувакша","Кувакша",,"Q4244185","ru:Кувакша",,3
15959723,"Кутля",,,,,,12
3620620,"Летевка","Летевка",,"Q4255008","ru:Латос",,4
15964336,"Липлейка",,,,,,3
15956453,"Ломовка","Ломовка",,,,"09010200112110000027070",11
15959724,"Ломовка","Ломовка",,,,"09010200112110000027070",22
5954188,"Маис",,"Инза","Q4274667","ru:Маис (река)",,8
15962182,"Малая Елань","Лисовка",,,,,2
