id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
1612994,"Алея",,"Сива",,,"10010100912111100009363",6
1932775,"Арий",,,,,"10010100812111100013200",7
1476023,"Атер",,,,,,10
2237408,"Бабка",,"Sylva River",,,,9
1596977,"Барда",,,"Q4078115","ru:Барда (приток Сылвы)","10010100812111100012807",9
1990825,"Барда","Барда","Тулва",,,"10010101012111100014813",23
1928129,"Бартым",,,,,"10010100812111100013125",3
1525052,"Берёзовая",,"Колва","Q1975702",,"10010100212111100005874",4
1927674,"Бизяр",,,,,"10010201112111100022821",15
18612771,"Большая Мотовилиха","Большая Мотовилиха",,"Q4091506",,,19
1358795,"Большой Ашап",,,,,"10010100812111100013392",5
1583584,"Большой Чир",,"Обва",,,"10010100912111100009264",3
1584091,"Буб",,"Обва",,,"10010100912111100009424",23
1397426,"Буй",,,,,,27
1363427,"Буть",,"Сива",,,,2
2248562,"Велва",,"Иньва",,,"10010100912111100008106",4
2722751,"Весляна","Весляна","Кама","Q2733866","ru:Весляна (приток Камы)","10010100112111100001457",3
1792263,"Вишера","Вишера",,"Q476721",,"10010100212111100004082",8
14385923,"Воч","Воч","Северная Кельтма","Q212113","ru:Воч","03020200112103000015418",14
1620278,"Гайва","Гайва",,,,"10010101012111100013946",20
9642527,"Данилиха",,,"Q4154609","ru:Данилиха (река)",,26
1956297,"Добрянка","Добрянка","Кама",,,"10010100912111100009943",5
9499889,"Дубровка",,,,,,10
1513940,"Егва",,,,,"10010100912111100008229",15
9642638,"Егошиха",,,"Q2630721","ru:Ягошиха (река)",,37
1533859,"Зула",,,,,"10010100112111100002577",3
1503837,"Иньва",,,"Q1509369","ru:Иньва","10010100912111100007826",17
1355720,"Ирень",,,,,"10010100812111100013170",24
221993,"Кама","Кама","Volga","Q79082","ru:Кама",,92
1609294,"Каракулка",,"Сива",,,"10010100912111100009394",11
2006268,"Качка","Качка","Кама",,,"10010101012111100014202",25
1602076,"Кизьва",,,,,"10010100912111100009271",3
1525053,"Колва",,,"Q8181","ru:Колва (приток Вишеры)","10010100212111100005515",7
1533085,"Коса","Коса","Кама",,,"10010100112111100002294",22
1330815,"Косьва","Косьва","Кама","Q655712","ru:Косьва","10010100312111100008416",16
