id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
15460211,"Koura - Кира",,,"Q3801504","lv:Koura",,28
14355840,"Kūdupe / Кудеб",,,"Q4244391","ru:Кудеб",,28
9274203,"Kūkova / Кухва","Кухва","Великая","Q4249818","ru:Кухва","01030000212102000028792",20
14651433,"Ludza / Лжа","Лжа",,"Q1669018","lv:Ludza (upe)",,26
4612205,"Moložva jõgi / Моложевка","Моложевка",,"Q4300855","ru:Моложевка","01030000312102000029552",18
4281870,"Pededze / Pedetsi jõgi","Педедзе",,"Q1973550",,,46
4612469,"Pelska jõgi","Белка",,"Q16411256",,,12
3832837,"Piusa jõgi / Пимжа","Пимжа","Чудско-Псковское озеро","Q1816805","ru:Пиуза","01030000312199000000020",138
9409737,"Rītupe / Утроя","Утроя","Великая","Q1396754","lv:Rītupe","01030000212102000028662",26
4609732,"Tuplova jõgi","Туплова",,"Q52157824",,,27
9297451,"Vāda / Вяда","Вяда",,,,,33
8534004,"Zilupe / Сінюха / Синяя","Синюха",,"Q203369","lv:Zilupe (upe)","01030000112102000028502",23
14640325,"Алоля",,"Великая","Q4062822","ru:Алоля",,20
7154999,"Аўсянка","Овсянка","Усвяча","Q3920063","be:Аўсянка (рака)","01020000412199000000100",18
9259379,"Бахаревка",,,,,,8
8534005,"Великая","Великая","Чудско-Псковское озеро","Q23550","ru:Великая (река, впадает в Псковское озеро)","01030000112102000027628",76
14256401,"Веть",,,"Q4110118","ru:Веть (приток Иссы)",,3
8548608,"Воружа","Воружа",,,,,5
14386698,"Вревка",,"Великая","Q4127033","ru:Вревка (приток Великой)","01030000112102000028489",3
9253417,"Гужа",,,,,,9
7198029,"Дрыса","Дрыса","Заходняя Дзвіна","Q2622731","be:Дрыса (рака)","01020000112199000000020",46
14038236,"Желча","Желча","Чудское озеро","Q4179226","ru:Желча (река)","01030000312102000027411",14
14255782,"Исса",,,"Q1971897","ru:Исса (приток Великой)",,12
13996602,"Кебь","Кебь","Черёха","Q4218805","ru:Кебь (река)","01030000212102000029379",14
9255327,"Круча",,,,,,3
19289231,"Кунья",,,"Q2560306",,,19
14432360,"Лада",,,"Q4252498","ru:Лада (приток Утрои)",,10
2798544,"Лазавица","Лазавица","Ловать","Q4252754","ru:Лазавица","01040200312102000022790",17
14640704,"Лазавица","Лазавица",,"Q4252754","ru:Лазавица",,26
13621138,"Липенка / Liepna","Липенка",,"Q7240277","ru:Липенка (приток Веды)",,27
2824507,"Ловаць","Ловать","озеро Ильмень","Q255379","be:Ловаць","01040200312102000022592",59
2415374,"Люта",,"Плюсса","Q4272280","ru:Люта (приток Плюссы)","01030000412102000027045",8
8878616,"Межава","Межево",,,,,7
8008831,"Нішча","Нища","Дрыса","Q3918943","be:Нішча (рака)","01020000112199000000100",11
7375570,"Палата","Полота","Дзвіна / Daugava / Западная Двина","Q2596996","be:Палата","01020000112199000000060",19
8550175,"Паниклевка","Паниклевка",,,,,1
13881800,"Перновка",,,"Q4351620","ru:Перновка (приток Синей)",,2
2415488,"Плотиченка",,"Люта","Q4365328","ru:Плотиченка (приток Люты)","01030000412102000027090",3
2469791,"Плюсса",,"Нарва","Q1807278","ru:Плюсса (река)","01030000412102000026703",24
14034089,"Полисть","Полисть","Ловать","Q2276055","ru:Полисть (приток Ловати)","01040200312102000023919",5
14036618,"Пскова","Пскова","Великая","Q282489","ru:Пскова","01030000212102000029447",19
12699343,"Раслица",,"Савинское озеро","Q4390179","ru:Раслица","01040200312102000022813",5
8541392,"Рудніца","Рудница",,,,,9
8140707,"Свольна","Свольна","Дрыса","Q2582941","be:Свольна (рака)",,13
8541393,"Сенница","Сенница",,,,,3
12154443,"Старая","Старая","возера Лісна",,,,3
19289140,"Судома",,,"Q4445498",,,4
2415471,"Угорня",,"Люта","Q4469135","ru:Угорня (приток Люты)","01030000412102000027076",1
9214108,"Ужинец",,,,,,3
8541374,"Ужица","Ужица",,,,,1
13996414,"Уза","Уза","Шелонь","Q4469673","ru:Уза (приток Шелони)","01040200412102000024557",12
8545024,"Усвечица","Усвечица",,,,,1
7995680,"Усвяча","Усвяча","Заходняя Дзвіна","Q2093880","be:Усвяча","01020000412199000000030",23
8541375,"Ушча","Уща","Дрыса","Q1963735","be:Ушча","01020000112199000000050",31
9350435,"Ущанка","Ущанка",,,,,7
9188780,"Чарнуя","Чернуя",,,,,5
14036505,"Черёха","Черёха","Великая","Q1971878","ru:Черёха (река)","01030000212102000029133",22
9259377,"Чеснорка",,,,,,3
15906914,"Чёрная",,"Плюсса","Q4518581","ru:Чёрная (приток Плюссы)",,8
13991152,"Шелонь","Шелонь","Ильмень","Q1047568","ru:Шелонь","01040200412102000024311",12
9259378,"Шестовка",,,,,,3
14442536,"Щепец",,,"Q4528717","ru:Щепец (верхний приток Великой)",,5
8544997,"Язница","Язница",,,,,1
14386783,"Яня",,"Плюсса","Q4538408","ru:Яня (приток Плюссы)","01030000412102000027106",10
9210514,"ручей Мелынка",,,,,,5
