id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
176686,,,"Molodo",,,,6
2192022,,,,,,,9
14356432,"Lungcha",,"Lena","Q2658576","de:Lungcha",,20
13942438,"Аганыли",,"Котуй",,,,13
176293,"Адыча","Адыча","Yana River","Q380249","ru:Адыча",,28
6087315,"Алазея","Алазея",,"Q82228","en:Alazeya River",,35
170456,"Алгама","Алгама","Gonam",,,,24
151654,"Алдан","Алдан","Лена","Q191832","ru:Алдан (река)","18030600412117300000011",51
6087316,"Аллаиха","Аллаиха",,"Q1313409","ru:Аллаиха",,14
168341,"Аллах-Юнь","Аллах-Юнь","Алдан","Q1817886","ru:Аллах-Юнь (река)","18030600712117300038735",26
151669,"Амга","Амга","Aldan","Q186155","ru:Амга",,32
169991,"Амедичи","Амедичи","Aldan",,,,3
179500,"Анабар","Анабар","Laptev Sea","Q82187","ru:Анабар","18010000112117600037247",22
7726494,"Аннях",,"Ахтаранда",,,"18030800312117400012114",4
7230256,"Анюй","Анюй","Kolyma","Q551561","ru:Анюй (приток Колымы)",,1
178418,"Арга-Сала","Арга-Сала","Olenyok","Q2573885","ru:Арга-Сала (приток Оленька)","18020000112117600050229",7
16466682,"Арга-Юрях",,,"Q3622242","ru:Арга-Юрях (приток Омолоя)",,5
174074,"Ахтаранда","Ахтаранда","Vilyuy",,,"18030800312117400011599",2
18238735,"Бакы","Бакы",,"Q16273717",,,2
3066640,"Баппагай","Баппагай",,"Q1108187","ru:Баппагай","18030800612117400027740",6
168463,"Барайы","Барайы","Aldan","Q4077642","ru:Барайы","18030600912117300056669",5
7721051,"Батыр","Батыр","Ахтаранда",,,"18030800312117400012169",1
11160268,"Белянка",,"Лена",,,,1
3479079,"Билир","Билир",,,,"18030600412117300021174",2
2775968,"Биректе",,,"Q2358499","ru:Биректе","18020000212117600057036",2
3430259,"Боллохтох","Боллохтох",,,,"18030600312117300019400",3
174517,"Большая Эрча",,"Indigirka",,,,3
1086341,"Большой Анюй","Большой Анюй","Anyuy","Q1465920","ru:Большой Анюй",,40
2775636,"Большой Нимныр",,"Алдан",,,,4
2517729,"Большой Селерикан","Большой Селерикан",,,,,3
176300,"Борулах","Борулах",,"Q651612","ru:Борулах (приток Адычи)","18040200112117700017304",2
7787417,"Боруок","Боруок","Нюя",,,"18030300112117200002596",4
2710267,"Буолкалах","Буолкалах",,"Q1010110","ru:Буолкалах","18020000212117600063723",8
177457,"Буотама",,,,,,10
2775969,"Бур",,"Оленёк",,,,17
176115,"Бытантай",,"Yana","Q974630","ru:Бытантай",,14
5974750,"Бёрёлёх","Бёрёлёх",,"Q879450","ru:Бёрёлёх","18050000412117700068658",21
166236,"Вилюй","Вилюй","Lena","Q26433","ru:Вилюй",,63
166221,"Витим","Витим","Lena","Q26068","ru:Витим","18030200112117100015361",23
168473,"Восточная Хандыга",,"Aldan",,,,16
8894306,"Ганг",,,,,,2
170453,"Гонам","Гонам","Uchur","Q1535737","ru:Гонам",,15
174021,"Далдын","Далдын","Markha River",,,"18030800412117400017293",5
2775637,"Делинне",,"Томпо","Q1108234","ru:Делинья","18030600912117300052227",4
7721960,"Джалаикта",,"Киллемтиине",,,"18030800212117400009948",2
2187081,"Джарджан","Джарджан","Lena",,,,6
2208359,"Дулгалах","Дулгалах","Yana","Q1264793","ru:Дулгалах","18040100112117700007827",16
170235,"Дянышка","Дянышка","Lena","Q1108362","ru:Дянышка",,6
1849944,"Зырянка","Зырянка",,"Q1266970","ru:Зырянка (приток Колымы)",,8
177639,"Идюм","Идюм","Algama",,,,7
170226,"Индигирка","Индигирка","Arctic Ocean","Q82207","ru:Индигирка","18050000112117700035295",75
18238736,"Иргичэн","Иргичэн",,"Q11713986",,,8
178450,"Кенгеде",,"Arga-Sala",,,,3
2775970,"Кенгеде",,,,,,3
7721062,"Киллемтине",,"Вакунайка",,,"18030800212117400009887",8
170956,"Колыма","Колыма","Arctic Ocean","Q78879","ru:Колыма",,18
168453,"Куолума","Куолума","Aldan",,,,7
7800004,"Курум","Курум","Пеледуй",,,"18030300212117200000621",4
8042194,"Курунг-Джесиели","Курунг-Джесиели","Моркока",,,"18030800412117400019952",3
9503281,"Курунг-Тымпычан",,"Тымпычан",,,"18030300112117200002404",3
178413,"Кюэнелекян","Кюэнелекян",,,,,2
166171,"Лена","Лена","Laptev Sea","Q46841","ru:Лена","18030900112117500000010",180
173397,"Линде",,"Lena","Q1817893","ru:Линде (река)","18030900112117500002823",25
1076596,"Малый Анюй","Малый Анюй","Anyuy","Q1115719","ru:Малый Анюй","19010300112119000067297",43
173796,"Марха","Марха","Vilyuy","Q185839","ru:Марха (приток Вилюя)","18030800412117400016906",22
177447,"Марха","Марха","Lena","Q1893455","ru:Марха (приток Лены)",,9
12368504,"Матта",,"Синяя","Q2425111","ru:Матта (река)",,9
167702,"Мая","Мая","Aldan","Q831383","ru:Мая (приток Алдана)",,29
178061,"Менкере",,,,,,2
3256534,"Миль","Миль",,,,,8
173700,"Молодо",,"Lena","Q2658222","ru:Молодо",,16
174359,"Мома","Мома","Indigirka","Q783916",,,55
173878,"Моркока","Моркока","Markha River","Q187994","ru:Моркока",,15
173497,"Муна",,"Lena","Q915982","ru:Муна (приток Лены)","18030900112117500009297",15
9425132,"Мыла","Мыла",,"Q4309356","ru:Мыла (приток Лены)",,4
177432,"Намана","Намана","Lena","Q2573905","ru:Намана",,14
176400,"Нельгесе",,"Adycha","Q1315000","de:Nelgesse",,4
19279424,"Нера",,,"Q2450540",,,10
11160260,"Нуора",,"Тумара",,,,1
173390,"Нюя","Нюя","Lena","Q1074894","ru:Нюя","18030300112117200001988",14
1847286,"Ожогина","Ожогина",,"Q1266978","ru:Ожогина",,15
7726493,"Олгуйдаах",,"Ахтаранда",,,"18030800312117400011865",5
173215,"Оленёк","Оленёк","Arctic Ocean","Q26799","ru:Оленёк (река)",,15
176284,"Ольджо",,"Yana","Q1783947","de:Oldscho",,7
166226,"Олёкма","Олёкма","Lena River","Q26358","ru:Олёкма","18030400112117200009486",23
178078,"Омолой",,"Laptev Sea","Q1416354","ru:Омолой",,29
171318,"Омолон","Омолон","Kolyma","Q1142842","ru:Омолон",,85
166235,"Оччугуй-Ботуобуя","Оччугуй-Ботуобуя","Vilyuy",,,"18030800312117400013449",10
177425,"Пеледуй","Пеледуй","Лена",,,"18030300212117200000034",5
1849983,"Поповка","Поповка",,"Q1783646","ru:Поповка (приток Колымы)",,5
14113197,"Правый Чульман",,,,,,2
6087317,"Россоха",,,"Q2491190","ru:Россоха (приток Алазеи)",,12
2103315,"Сартанг","Сартанг","Yana","Q1479580","ru:Сартанг",,23
1847317,"Седедема",,,"Q2264345","ru:Седедема",,13
170225,"Селеннях","Селеннях","Indigirka","Q1784612","ru:Селеннях","18050000312117700056441",29
2775973,"Силигир",,,"Q2359067","ru:Силигир","18020000112117600053749",5
177451,"Синяя","Синяя","Lena","Q969170","de:Sinjaja (Lena)",,14
15533645,"Сохлолох",,,,,,15
7721063,"Сугдюкан",,"Киллемтине",,,"18030800212117400010111",3
179521,"Суолама","Суолама","Anabar","Q1641005","ru:Суолама","18010000112117600044061",6
170474,"Сутам","Сутам","Gonam",,,,4
16195229,"Сыалах",,,"Q3954920","ru:Сыалах (река)",,4
7901469,"Сыпаранда","Сыпаранда","Хамаакы",,,"18030300112117200002824",3
5552855,"Сытыган","Сытыган","Eekit",,,"18030800412117400017644",2
5475282,"Сытыкан","Сытыкан","Daldyn river",,,"18030800412117400017354",4
7749479,"Сюлдьюкээр",,"Вилюй",,,"18030800312117400014064",4
9489405,"Сюльдюкээр",,"Нюя",,,"18030300112117200002954",4
176692,"Сюнгюде",,"Molodo",,,,12
3802396,"Сяпякинэ","Сяпякинэ",,"Q4448656","ru:Сяпякинэ",,5
3254872,"Татта","Татта",,"Q1033133","ru:Татта (река)","18030600912117300056478",28
168071,"Тимптон","Тимптон","Aldan",,,,20
175199,"Токко","Токко","Chara",,,,6
166705,"Томпо","Томпо","Aldan",,,,13
2665047,"Тонгуо","Тонгуо",,,,"18030800612117400023544",2
