id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
15959695,"Байка",,,,,,11
6474849,"Баклуша","Баклуша","Богана","Q84184","ru:Баклуша (приток Боганы)","05010200212107000006922",8
10568464,"Большой Иргиз","Большой Иргиз","Волга","Q613666","ru:Большой Иргиз","11010001612112100009544",97
7365654,"Вершаут",,"Уза","Q4109230","ru:Вершаут","08010500112110000035703",10
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
15959714,"Долгобазан",,,"Q4164525","ru:Долгобазан","08010500112110000035666",2
2470590,"Еруслан","Еруслан","Volga","Q1519869","ru:Еруслан (река)",,63
3369082,"Изнаир","Изнаир",,"Q3721572","ru:Изнаир",,16
2245654,"Иловля","Иловля","Don","Q2557120","ru:Иловля (река)",,50
7752296,"Калмантай",,,"Q3729472","ru:Калмантай","11010001912112100010561",6
15964356,"Камышинка",,,,,,7
3791643,"Карагужа",,,"Q3730873","ru:Карагужа","11010001912112100010349",5
16108642,"Кіші Өзен - Малый Узень","Малый Узень",,"Q1577271","kk:Кіші Өзен",,56
7676312,"Малый Кушум",,,"Q4278996","ru:Малый Кушум",,19
2089071,"Медведица","Медведица",,"Q1535189",,,78
9694443,"Осиновка",,"Медведица",,,,5
5636757,"Сердоба",,"Хопер",,,,39
15959688,"Соколка",,,,,,4
2248553,"Солёная Куба","Солёная Куба",,"Q4428615","ru:Солёная Куба",,10
15959708,"Сормино",,,,,"08010500112110000035284",4
6474860,"Средний Кардаил","Средний Кардаил","Кардаил","Q4438619","ru:Средний Кардаил","05010200412107000007712",5
3444483,"Терешка",,,"Q1470306","ru:Терешка","11010001912112100010264",48
11777223,"Толстовка","Толстовка","Большой Иргиз","Q4459901","ru:Толстовка (река)","11010001612112100010076",7
7365131,"Уза",,"Сура",,,,53
14978456,"Холманка - Холманка","Холманка","Таловая",,"kk:Холманка",,7
236703,"Хопёр","Хопёр","Дон","Q647052","ru:Хопёр",,157
1248612,"Чагра","Чагра","Volga","Q4506675","ru:Чагра",,20
15959707,"Чернобулак",,,,,,2
15959713,"Шняева",,,,,,2
