id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3588660,,,,,,,3
3588696,,,,,,,4
3588815,,,,,,,8
3593845,,,,,,,3
2086905,"Dnieper","Днепр","Black Sea","Q40855","en:Dnieper",,263
8876448,"Івата","Ивата",,,,,1
1179867,"Іпуць","Ипуть","Сож","Q1813407","be:Іпуць",,67
9197495,"Алеська","Олеська",,,,,3
8325069,"Альшоўка","Ольшовка",,"Q3919486","ru:Ольшовка",,39
1430489,"Аржать",,"Межа","Q4069122","ru:Аржать",,6
8283461,"Аслянка","Ослянка",,"Q21864569","ru:Ослянка (приток Сожа)",,2
7815392,"Асцёр","Остёр",,"Q1344826","ru:Остёр (приток Сожа)",,39
8862906,"Балазна","Балазна",,,,,5
7937506,"Бебря",,"Вязьма",,,,8
7820127,"Беседзь","Беседь","Сож","Q2415430","ru:Беседь",,32
3601304,"Болдачевка",,,,,,6
8297878,"Быстрая","Быстрая","Проня","Q13032200","be:Быстрая (прыток Проні)",,9
7937631,"Бярэзіна","Березина","Дняпро","Q819080","ru:Березина (верхний приток Днепра)",,7
1173875,"Вазуза",,"Volga","Q778886","ru:Вазуза",,11
9728489,"Вержа","Вержа","Днепр","Q4107794","ru:Вержа",,8
9728488,"Вопец","Вопец","Днепр","Q4124985",,,4
5708543,"Вороница",,,,,,1
270827,"Воря",,"Ugra","Q3436849","ru:Воря (приток Угры)",,22
10048973,"Вязаўка","Вязовка","Альшанка",,,,4
7937482,"Вязьма",,"Днепр","Q1581489","ru:Вязьма (приток Днепра)",,7
7814833,"Віхра","Вихра","Сож","Q940277","ru:Вихра",,15
8284864,"Гарадня","Городня","Віхра","Q4145308","ru:Городня (приток Вихры)",,8
7941004,"Гжелка","Гжелка","Дымка",,,,5
5512810,"Демина",,"Ugra","Q3726028","ru:Демина (приток Угры)",,9
157601,"Десна","Десна","Dnipro","Q202796","uk:Десна",,143
549362,"Дзвіна / Daugava / Западная Двина","Западная Двина","Baltic Sea","Q8197","en:Daugava",,93
7937696,"Днепрец","Днепрец","Днепр",,,,3
7940780,"Дыма","Дыма","Днепр","Q4171584",,,18
7940779,"Дымица","Дымица","Дымка",,,,13
9254409,"Еленка",,,,,,10
3599855,"Жарна",,,,,,3
8100144,"Заальшанка","Заольшанка","Чарніца","Q3919261","be:Заальшанка",,5
9213837,"Канішчаўка","Конищевка",,,,,1
4203639,"Касня",,"Вазуза","Q4216681","ru:Касня (река)",,6
7158780,"Каспля","Каспля","Заходняя Дзвіна","Q1798377","be:Каспля",,13
8285954,"Княгіня","Княгиня",,"Q15985657","ru:Княгиня (приток Мертвы)",,1
3600316,"Колпинка",,,,,,3
8547960,"Ладыгино","Ладыгино",,,,,3
3603875,"Липовка",,,,,,10
3593846,"Локотец",,,,,,3
14369584,"Лущенка",,,"Q4270455","ru:Лущенка",,10
8285801,"Любінка","Любинка",,,,,4
14351358,"Лядня","Лядня","Рамясцвянка","Q18665952","be:Лядня",,8
9210764,"Малая Березина","Малая Березина","Березина","Q4276718","ru:Малая Березина",,10
5485418,"Малая Ворона",,"Vorona","Q3725376","ru:Малая Ворона (река)","09010100412110000020637",5
15886228,"Малая Воря",,,,,,14
9259381,"Михалёвка",,,,,,3
389341,"Москва","Москва","Ока","Q175117","ru:Москва (река)","09010101012110000023004",156
15886825,"Мошна",,,,,,5
8285534,"Мяртва","Мертва",,"Q15985659","ru:Мертва",,12
7937527,"Немощёнка",,"Днепр","Q4317007","ru:Немощенка",,5
1429052,"Обша","Обша","Межа","Q2621535","ru:Обша",,19
8557219,"Ольшанка","Ольшанка",,,,,3
7138898,"Орлея",,,"Q4336539","ru:Орлея (река)",,3
3603876,"Перепелевка",,,,,,12
270826,"Пополта","Пополта","Ressa","Q3725359","ru:Пополта","09010100412110000021245",7
3601305,"Присмара",,,,,,3
9259382,"Прудская",,,,,,3
8551739,"Радомля","Радомля",,,,,5
8550147,"Рэкта","Ректа",,,,,2
8288470,"Скверетянка","Скверетянка",,"Q15714439","ru:Скверетянка",,8
3603877,"Скоровка",,,,,,13
7154794,"Сож","Сож","Dnieper","Q784682","be:Сож",,81
8888971,"Сожанка","Соженка",,"Q4426781","ru:Соженка",,4
3603878,"Солна",,,,,,10
3599856,"Соложа",,,,,,3
3591202,"Стряна",,,"Q4444439","ru:Стряна",,33
9214104,"Студзёнка","Студёнка",,,,,1
15886864,"Сукромля",,,,,,5
8889297,"Сухая Паленіца","Сухая Поленница","Каспля",,,,9
9197378,"Сянькоўка","Сеньковка",,,,,3
9214168,"Сігаўка","Сиговка",,,,,1
536736,"Угра","Угра","Oka","Q264040","ru:Угра","09010100412110000020453",24
8588677,"Успол","Успол",,"Q21867645",,,1
3958194,"Хмость",,"Dnieper","Q4498520","ru:Хмость (река)",,15
3606749,"Хортань",,,,,,3
7414372,"Чарніца","Черница","Лучоса","Q3918384","be:Чарніца (рака)",,11
9259383,"Шумячка",,,,,,10
13999910,"Яблоня",,,"Q4535955","ru:Яблоня (река)",,11
