id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
6474849,"Баклуша","Баклуша","Богана","Q84184","ru:Баклуша (приток Боганы)","05010200212107000006922",8
6419924,"Битюг","Битюг","Дон","Q878830","ru:Битюг (река)","05010100912107000003774",75
6474851,"Большая Алабушка","Большая Алабушка","Ворона","Q85614","ru:Большая Алабушка","05010200212107000006878",20
1598154,"Большой Самовец",,"Самовец","Q4092831","ru:Большой Самовец (река)",,7
13270820,"Бурначка",,"Савала","Q4099795","ru:Бурначка",,13
15967905,"Верда",,,,,,4
1282424,"Ворона","Ворона","Khopyor River","Q1313548","ru:Ворона (приток Хопра)",,84
1405518,"Воронеж",,"Don","Q847893","ru:Воронеж (река)",,63
6464735,"Елань","Елань","Савала","Q2664276","ru:Елань (приток Савалы)","05010200312107000007249",33
2453957,"Иловай","Иловай",,"Q85523","ru:Иловай",,24
7412640,"Кашма",,,"Q3721228","ru:Кашма","09010200312110000029201",21
15956433,"Кермись",,,,,,6
13270818,"Клешня",,"Малая Бурначка","Q4223486","ru:Клешня (приток Малой Бурначки)",,7
6312145,"Лесной Воронеж",,,"Q84586","ru:Лесной Воронеж","05010100512107000002450",27
13270819,"Малая Бурначка",,"Бурначка","Q4276755","ru:Малая Бурначка",,10
6464739,"Малая Елань","Малая Елань","Елань","Q14915327","ru:Малая Елань","05010200312107000007256",12
5707664,"Малый Ломовис",,,,,"09010200312110000029348",19
6419935,"Малый Эртиль","Малый Эртиль","Эртиль","Q4279218","ru:Малый Эртиль","05010100912107000003972",9
1404056,"Матыра","Матыра","Voronezh","Q2619461","ru:Матыра (река)",,36
6474858,"Мокрый Карачан","Мокрый Карачан","Хопёр","Q4214449","ru:Карачан","05010200512107000006974",17
15967908,"Пара",,,"Q2000357","de:Para (Oka)",,29
5687805,"Пичаевка",,,,,"09010200312110000029409",9
13991965,"Польной Воронеж",,,"Q84625",,,29
3112033,"Ржакса",,"Vorona","Q84189","ru:Ржакса (приток Вороны)",,10
237098,"Савала","Савала","Хопёр","Q2312625","ru:Савала","05010200312107000007072",50
2189359,"Самовец",,"Матыра","Q4406625","ru:Самовец",,1
7898990,"Сестрёнка",,,,,,9
6312146,"Ситовка",,,,,,11
6474861,"Сухой Карачан","Сухой Карачан","Мокрый Карачан","Q4447259","ru:Сухой Карачан (нижний)","05010200512107000007018",9
6464749,"Токай","Токай","Елань","Q4459444","ru:Токай (река)","05010200312107000007324",31
1238628,"Цна",,"Мокша","Q217954","ru:Цна (приток Мокши)","09010200212110000028687",36
6464750,"Шинокость",,"Савала",,,,3
6419956,"Эртиль","Эртиль","Битюг","Q4532633","ru:Эртиль (река)","05010100912107000003934",29
