id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
8249245,"Амбарная","Амбарная","Амбарский Пасил","Q96051127",,"13010900112115200035500",3
2645287,"Бакчар","Бакчар",,"Q2628165","de:Baktschar",,2
2763693,"Большая Киргизка","Большая Киргизка","Tom",,,"13010300412115200012902",8
14440178,"Большая Окунёвка",,,"Q4091547","ru:Большая Окунёвка (приток Ларъёгана)",,27
8991786,"Большая Чёрная",,"Томь",,,,9
14641114,"Ванжиль","Ванжиль","Тым",,"ru:Ванжиль","13010900112115200033704",3
5955987,"Васюган",,,"Q511067","ru:Васюган","13010800112115200029649",6
9099867,"Долгоун","Долгоун","Четь","Q6557374",,,12
194252,"Кеть",,"Обь","Q724465","ru:Кеть","13010600112115200024176",50
2645150,"Киргизка","Киргизка",,,,,5
181181,"Кия","Кия","Chulym","Q1513580","ru:Кия (приток Чулыма)","13010400212115200018064",34
14374860,"Колтогорская",,,"Q4228720","ru:Колтогорская",,2
15559667,"Кужербак",,,"Q6569284","ru:Кужербак",,2
13509789,"Кёнга",,,"Q1744085",,,10
14371200,"Ларьёган",,,"Q4254697","ru:Ларьёган (приток Оби)",,6
2245972,"Лисица",,"Ket'","Q1740481","de:Lissiza",,8
19869534,"Ломоватая",,,"Q4266230",,,1
15559568,"Малая Корта",,,"Q4277009","ru:Малая Корта",,6
19869585,"Малый Кас",,,"Q35495411",,,6
3651820,"Назинская",,,,,"13010900112115200035609",4
2469254,"Обь","Обь","Gulf of Ob","Q973","ru:Обь",,84
14371202,"Озёрная",,,"Q4332297","ru:Озёрная (приток Ларъёгана)",,4
19869533,"Озёрная",,,"Q4332295",,,1
8250087,"Окуневка",,"Пиковский Ёган",,,"13010900112115200035456",3
194251,"Орловка","Орловка","Ket'","Q599502","ru:Орловка (приток Кети)",,10
2712005,"Парабель","Парабель",,"Q1464701","ru:Парабель (река)","13010700112115200028584",11
15413276,"Первый Саим",,,"Q4349768","ru:Первый Саим",,5
8249452,"Пиковский Ёган",,"Киевская протока",,,"13010900112115200035395",3
2645186,"Самуська","Самуська",,,,,2
191251,"Томь","Томь","Обь","Q216188","ru:Томь",,41
2712006,"Тым",,,"Q1346382","ru:Тым",,14
8744663,"Улу-Юл",,"Чулым","Q2976534","de:Ulujul","13010400312115200021902",21
166735,"Чая","Чая","Ob","Q2001007","ru:Чая (приток Оби)",,7
14371201,"Чебачья",,,"Q4451068","ru:Чебачья (приток Ларъёгана)",,11
2835838,"Четь","Четь",,"Q2581602","de:Tschet (Fluss)",,19
5626515,"Чичкаюл",,"Чулым","Q2322578","ru:Чичкаюл",,11
2648617,"Чузик","Чузик",,"Q1761592","de:Tschusik",,7
164850,"Чулым","Чулым","Ob","Q214768","ru:Чулым (приток Оби)","13010400112115200013824",90
19869535,"Язевая",,,"Q4379191",,,1
164847,"Яя","Яя","Chulym","Q1637644","ru:Яя (река)",,22
