id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
15886721,"Большое Смедово (Смедва)",,,,,,3
19703244,"Вашана","Вашана","Ока","Q4105513","ru:Вашана",,31
15886691,"Городенка",,,,,,12
416351,"Дон","Дон","Sea of Azov","Q1229","ru:Дон",,279
3243664,"Жиздра",,"Oka","Q1342701","ru:Жиздра (река)",,20
16365088,"Кобылинка",,,"Q4225244","ru:Кобылинка (приток Красивой Мечи)",,3
12282178,"Красивая Меча",,"Дон","Q2542105","ru:Красивая Меча",,22
15972508,"Марковска",,,,,,3
15972507,"Мокрая Табола",,,,,,9
15886510,"Мордвес",,,"Q4302467","ru:Мордвес (река)",,19
3781958,"Мышега",,"Oka","Q4309660","ru:Мышега","09010100812110000021791",12
3733222,"Непрядва","Непрядва","Don","Q4317399","ru:Непрядва","05010100312107000000267",22
163223,"Ока","Ока","Volga","Q172089","ru:Ока","09010100112110000017555",170
3775803,"Осётр",,,"Q667106","ru:Осётр (река)",,95
399668,"Плава",,"Upa","Q2651549","ru:Плава",,18
15886504,"Полосня",,,"Q4370686","ru:Полосня",,2
15886717,"Пранка",,,,,,5
1016666,"Проня",,"Oka","Q1784849","ru:Проня (приток Оки)",,35
15886725,"Скнига",,,,,,2
15972506,"Сухая Табола",,,,,,5
178331,"Упа","Упа","Oka","Q627412","ru:Упа (приток Оки)",,70
396396,"Черепетка",,"Черепеть","Q4512889","ru:Черепетка",,4
396390,"Черепеть",,"Ока","Q4512896","ru:Черепеть (река)",,12
