id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
1430489,"Аржать",,"Межа","Q4069122","ru:Аржать",,6
15986566,"Болотея",,,,,,3
1078732,"Большая Коша",,"Volga","Q4091426","ru:Большая Коша",,3
1456236,"Бортниковский ручей",,"Volga",,,,7
16139382,"Брагинская Речка",,,,,,3
1173875,"Вазуза",,"Volga","Q778886","ru:Вазуза",,11
15986569,"Ветка",,,,,,2
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
357359,"Волчина",,"Mologa","Q4124255","ru:Волчина",,15
1102158,"Ворчала",,"Большая Коша",,,,2
15886434,"Вьюлка",,,"Q4130100","ru:Вьюлка",,3
15986575,"Вязовка",,,,,,2
16101449,"Гавриловка",,,,,,2
14368239,"Глубочица",,,"Q4140174","ru:Глубочица (река, впадает в Селигер)",,5
549362,"Дзвіна / Daugava / Западная Двина","Западная Двина","Baltic Sea","Q8197","en:Daugava",,99
15886361,"Дойбица","Дойбица",,,,,5
1076756,"Донховка",,"Volga","Q4166465","ru:Донховка",,7
14222299,"Дрезна",,,"Q4168021","ru:Дрезна (приток Медведицы)",,7
2148157,"Дёржа",,"Volga River","Q4172628","ru:Дёржа","08010100312110000001081",8
15998645,"Жабня",,,,,,12
16008979,"Звана",,,,,,5
15886423,"Ильменка",,,,,,8
1282318,"Инюха",,"Шоша","Q4202362","ru:Инюха (река, впадает в Иваньковское водохранилище)",,5
16093257,"Каменка",,,,,,2
16110175,"Каменка",,,,,,3
2635081,"Кокша",,"Волга","Q4227508","ru:Кокша (приток Волги)",,4
13631419,"Коломенка",,"Кафтино","Q4228323","ru:Коломенка (река, впадает в Кафтино)",,5
15986562,"Корожечна",,,,,,5
2581122,"Крапивенка",,"Селигер","Q4237616","ru:Крапивенка (река, впадает в Селигер)",,1
19289231,"Кунья",,,"Q2560306",,,19
14114472,"Лама",,,"Q1137565","ru:Лама (река, впадает в Иваньковское водохранилище)",,7
15986567,"Ламь",,,,,,6
15886869,"Лобь",,,,,,16
16207229,"Луневка",,,,,,3
11938589,"Малая Дубенка",,"Малая Дубенка","Q4276852","ru:Малая Дубенка","08010100412110000000229",1
16812122,"Марзынка",,,,,"08010100812199000000400",5
174709,"Медведица","Медведица","Volga","Q510480","ru:Медведица (приток Волги)",,19
1289125,"Мелеча",,"Osen'","Q3436827","ru:Мелеча (река)",,8
16207228,"Милостная",,,,,,2
1100408,"Могоча",,"Osen'","Q14623256","ru:Могоча (приток Осени)",,4
184371,"Молога","Молога","Рыбинское водохранилище","Q1133858","ru:Молога (река)","08010200112110000005248",35
13985329,"Мста","Мста","Ильмень","Q1139404","ru:Мста","01040200212102000019715",31
15886619,"Немка",,,,,,3
2469283,"Нерль","Нерль","Volga","Q390987","ru:Нерль (приток Волги)","08010100812110000004056",4
16139383,"Никитинка",,,,,,3
1429052,"Обша",,"Межа","Q2621535","ru:Обша",,19
16139384,"Озеренка",,,,,,7
237129,"Орша",,"Волга","Q4337264",,,6
1085094,"Осень",,"Mologa","Q3436797","ru:Осень (река)",,1
1077356,"Осуга",,"Tvertsa","Q2034763","ru:Осуга (приток Тверцы)","08010100512110000002123",17
16093317,"Плота",,,,,,2
14034479,"Пола","Пола","Ильмень","Q2415273","ru:Пола","01040200312102000021830",18
15986574,"Пукша","Пукша",,"Q84265","ru:Пукша","08010100812110000004346",8
16207209,"Рясинка",,,,,"08010100412110000000700",3
15986542,"Сабля",,,,,,7
15986570,"Себла",,,,,,4
379295,"Селижаровка",,"Volga","Q289638","ru:Селижаровка",,3
19289244,"Сережа",,,"Q4417918",,,3
15886430,"Ситмеж",,,,,,4
15986571,"Сить",,,"Q2994977","ru:Сить",,9
1075075,"Сишка",,,"Q4421275","ru:Сишка",,10
2638330,"Скоковка",,"Тудовка",,,,6
399636,"Созь","Созь","Volga","Q86363","ru:Созь",,7
15986544,"Сольба",,,,,,6
399653,"Сосца",,"Soz","Q85026","ru:Сосца",,2
15886864,"Сукромля",,,,,,5
13686656,"Съежа",,"Уверь","Q4447828","ru:Съежа","01040200212102000020643",10
163347,"Тверца","Тверца","Volga","Q671890","ru:Тверца",,16
19285783,"Торопа",,,"Q2624099",,,11
2637011,"Тудовка",,"Волга",,,,7
1282256,"Тьма","Тьма","Volga","Q1163595","ru:Тьма (река)",,16
163333,"Тьмака",,"Volga","Q4467262","ru:Тьмака",,9
16105764,"Ундроса",,,,,,3
2634984,"Холынка",,"Волга","Q4499516","ru:Холынка (приток Волги)",,7
15886433,"Хотча",,,"Q4500418","ru:Хотча (река)",,12
2168020,"Цна",,"Tvertsa","Q217956","ru:Цна (река, впадает в Мстино)",,10
1013487,"Шегра",,"Tvertsa","Q3729733","ru:Шегра",,5
1282316,"Шоша",,"Volga","Q175612","ru:Шоша","08010100712110000002459",4
16024220,"Шуйка",,,,,,3
15886424,"Шуста",,,,,,2
15886432,"Шухорма",,,"Q85860","ru:Шухорма",,4
15886597,"Яуза",,,"Q4539630","ru:Яуза (приток Ламы)",,3
