id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
3292770,"Алаш","Алаш",,,,,6
172446,"Балыктыг-Хем","Балыктыг-Хем","Lesser Yenisei",,,,12
181944,"Баш-Хем",,,,,,13
181910,"Большой Енисей","Большой Енисей","Yenisei","Q1548748",,,27
181988,"Енисей","Енисей","Arctic Ocean","Q78707","ru:Енисей","17010300112116100000014",90
3263551,"Качик","Качик",,,,,3
2917653,"Кижи-Хем","Кижи-Хем",,,,,4
172455,"Кызыл Хем","Кызыл Хем","Lesser Yenisei",,,,2
2172321,"Малый Енисей","Малый Енисей","Yenisei","Q1511505",,,13
12611675,"Сай-Хоныш",,,,,,3
3985967,"Сарыг-Эр","Сарыг-Эр",,,,,4
2721433,"Тес-Хем","Тес-Хем",,"Q2368048","ru:Тес-Хем","17010320012116100157342",22
181950,"Хам-Сыра",,"Greater Yenısei",,,,10
181914,"Хемчик","Хемчик","Yenisei","Q928213","ru:Хемчик",,25
2172324,"Шишхид гол","Шишхид гол","Kyzyl-Khem",,,,7
