id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
15976384,"Бакалейка","Бакалейка",,"Q4075829","ru:Бакалейка","09010300812110000032692",3
15983798,"Бобровка",,,,,,3
15886850,"Большая Дубна",,,,,,4
15976369,"Большая Дубна",,,,,,9
15886441,"Большая Ушма",,,"Q4091751","ru:Большая Ушма",,2
2336790,"Бужа",,,"Q4098288","ru:Бужа",,32
7980569,"Важня","Важня","Суворощь","Q4102379","ru:Важня (приток Суворощи)","09010301112110000033990",9
15983929,"Великоозерский исток",,,,,,2
15886417,"Верходубенка",,,,,,7
15983917,"Виша",,,"Q4112608","ru:Виша","09010301212110000031056",2
15976416,"Войнинга",,,,,,8
15886403,"Вондига",,,,,,13
2131016,"Ворша",,,"Q4126056","ru:Ворша (приток Клязьмы)","09010300712110000032051",16
15983918,"Вынец",,,,,,2
15886287,"Грязевка",,,,,,4
15886856,"Дубна",,,"Q1164831","ru:Дубна (приток Волги)","08010100812110000003066",37
15976355,"Змейка",,,,,,6
15978705,"Илинда",,,,,,7
2131018,"Ильмовка",,,"Q4199928","ru:Ильмовка_(приток_Пекши)",,3
15978704,"Ингирь",,,,,,2
939439,"Ирмес",,"Нерль","Q4203393","ru:Ирмес",,10
15983944,"Исток",,,,,,2
2144250,"Каменка","Каменка",,"Q4211049","ru:Каменка (приток Нерли)","09010300812110000032685",11
15978718,"Картынь",,,,,,10
15886849,"Киржач",,,"Q2944670",,,8
2094452,"Клязьма","Клязьма","Ока","Q12556970","ru:Клязьма",,82
359962,"Колокша",,"Klyazma","Q4228305","ru:Колокша (приток Клязьмы)",,24
2845871,"Колокша",,,"Q12559294","ru:Гза (река)",,10
3298989,"Колпь",,,"Q4228694","ru:Колпь (приток Ушны)","09010301212110000030943",7
15975242,"Колпь",,,,,,12
15983878,"Крюковка",,,,,,2
15975235,"Ксегжа",,,,,,5
2445754,"Кубрь",,"Нерль","Q4244152","ru:Кубрь",,11
15983799,"Ленивка",,,,,,4
15976352,"Луйка",,,,,,6
530914,"Лух",,"Клязьма","Q2610493","ru:Лух (река)",,27
15983850,"Малая речка",,,,,,2
15976420,"Малый Киржач",,,,,,10
15886288,"Мележа",,,,,,6
15983854,"Меленка",,,,,,12
15886286,"Молокча",,,,,,51
15983942,"Мстерка",,,,,,4
15976412,"Наромша",,,,,,12
2144251,"Нерль","Нерль",,"Q904509","ru:Нерль (приток Клязьмы)","09010300812110000032258",33
15978716,"Нула",,,,,,4
163223,"Ока","Ока","Volga","Q172089","ru:Ока","09010100112110000017555",160
15886419,"Парша",,,,,,2
360197,"Пекша",,,"Q2992792","ru:Пекша (река)",,19
2930508,"Печуга",,,"Q4362128","ru:Печуга (приток Нерли)","09010300812110000032722",7
15975155,"Писур",,,,,,2
15976398,"Пичкура",,,,,,4
2336791,"Поль",,,"Q4371181","ru:Поль (река)",,16
15886858,"Поля",,,,,,82
15886418,"Рассоловка",,,,,"08010100812110000003073",7
15886517,"Рассоха",,,,,,3
15976370,"Рассоха",,,,,,8
2350365,"Селекша","Селекша",,"Q4413539","ru:Селекша",,20
15886442,"Сеньга",,,,,"09010300712110000031764",9
15976392,"Симка",,,,,,6
3220901,"Синеборка",,,"Q14914832","ru:Синеборка",,11
15983840,"Спорная",,,,,,4
7968495,"Суворощь","Суворощь","Клязьма","Q4445221","ru:Суворощь","09010301112110000033921",86
2930509,"Суйма",,,"Q4445661","ru:Суйма","09010300812110000032753",10
15983941,"Теза","Теза",,"Q1575245","de:Tesa (Fluss)",,13
15976415,"Тетрух",,,,,"09010301212110000030967",3
2932316,"Уечка",,,,,"09010300812110000032746",5
3355445,"Унжа",,,"Q4475697","ru:Унжа (приток Оки)","09010300112110000030121",9
2338935,"Циминка",,,"Q4381513","ru:Циминка",,4
15975154,"Черная",,,,,,2
15983846,"Черёмуха",,,,,,5
15976410,"Чёрная",,,,,"09010300912110000032950",7
2371650,"Шередарь",,,"Q4523061","ru:Шередарь",,13
15886851,"Шерна",,,,,,15
15976391,"Шоса",,,,,,9
15983919,"Юг",,,,,,2
