id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
1230074,"Ахтуба","Ахтуба",,"Q341057","de:Achtuba",,34
2166037,"Бузулук","Бузулук","Хопёр","Q602463","ru:Бузулук (приток Хопра)",,18
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
6782164,"Вязовка","Вязовка",,"Q4130300","ru:Вязовка (приток Терсы)",,7
416351,"Дон","Дон","Sea of Azov","Q1229","ru:Дон",,279
2470590,"Еруслан","Еруслан","Volga","Q1519869","ru:Еруслан (река)",,63
2245654,"Иловля","Иловля","Don","Q2557120","ru:Иловля (река)",,50
6474855,"Кардаил","Кардаил","Бузулук","Q4214741","ru:Кардаил (река)","05010200412107000007699",16
18726477,"Карповка","Карповка",,"Q4215893","ru:Карповка (приток Дона)",,15
6447607,"Манина","Манина","Подгорная","Q4280457","ru:Манина (река)","05010101112107000004844",4
2089071,"Медведица","Медведица",,"Q1535189",,,78
2066069,"Мокрая Мечетка",,,,,,29
6447608,"Подгорная","Подгорная","Тулучеевка","Q4367327","ru:Подгорная (приток Толучеевки)","05010101112107000004837",33
6464743,"Пыховка","Пыховка","Савала","Q4385404","ru:Пыховка (река)","05010200312107000007423",6
2248553,"Солёная Куба","Солёная Куба",,"Q4428615","ru:Солёная Куба",,10
236703,"Хопёр","Хопёр","Дон","Q647052","ru:Хопёр",,157
