id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
16846902,,,,,,,3
16847912,,,,,,,3
16101954,"Авжа",,,,,,2
18308106,"Агафоновка",,,,,,9
16111893,"Азеньга",,,,,,2
16114355,"Айга",,,,,,2
16843284,"Аламбаш",,,,,,3
16114331,"Алёшина",,,,,"03020100312103000009685",4
16016274,"Анданга",,,,,,2
16674858,"Анданга","Анданга",,"Q32227438",,"03020100212103000010552",5
16008989,"Андога",,,,,,37
14053357,"Андома","Андома","Онежское озеро","Q2846182","ru:Андома","01040100612102000017215",6
16905072,"Аньга",,,,,,3
16237410,"Анюг",,,,,,5
16016303,"Арбеж",,,,,,2
16905073,"Ачка",,,,,,3
16107931,"Бавтручей",,,,,,2
16061608,"Бадышка",,,,,,3
16030321,"Базега",,,,,,2
16008949,"Бакланка",,,,,,13
16008987,"Белая",,,,,,6
16095473,"Белая",,,,,,4
3479229,"Белый Ручей",,,,,,10
16111890,"Березовица",,,,,,3
16092343,"Ближний Салмоз",,,,,,2
16024634,"Ближняя Шебеньга",,,,,,5
16102004,"Богтеньга","Богтеньга",,,,"03010000112103000000482",6
16061616,"Божай",,,,,,2
16092385,"Бозерка",,,,,,2
16016284,"Большая Бобровка",,,,,,2
16114348,"Большая Елга",,,,,,3
16061619,"Большая Ельма",,,,,,5
16677007,"Большая Лоха",,,,,"03020100212103000010279",3
16101964,"Большая Нореньга",,,,,,2
16676376,"Большая Пеженга",,,,,"03020100212103000010026",5
16666204,"Большая Пеженьга","Большая Пеженьга","Юза","Q3724818","ru:Большая Пеженьга (приток Юзы)","08010300312110000014757",5
16092320,"Большая Селатка",,,,,,4
13981740,"Большая Сельменьга","Большая Сельменьга","Кулой","Q14943370","ru:Большая Сельменьга","03020300212103000028797",3
16105853,"Большая Чужга","Большая Чужга","Вожега",,,"03010000112103000000246",6
16119782,"Большная Шишменьга",,,,"ru:Большая Шишменьга","08010300312110000014436",4
16114345,"Большой Вощар","Большой Вощар","Вощар",,,,2
16114343,"Большой Ивас","Большой Ивас","Ивас",,,,2
16667259,"Большой Лог",,,,,,2
16114333,"Большой Модец",,,,,,2
16121989,"Большой Полюг",,,,,,4
16024591,"Большой Пунгул",,,,,,5
16102013,"Большой Пучкас",,,,,,2
16133123,"Большой Сомбол",,,,,,2
16016265,"Большой Юг",,,,,"08010200412110000009564",4
16105869,"Борисовица",,,,,,3
16148908,"Боровая",,,,,,2
16115789,"Боровая Улошка",,,,,,4
16024644,"Боровка",,,,,,3
16024614,"Бохтюга",,,,,,4
16024615,"Бохтюга",,,,,,3
16121987,"Брусенка",,,,,,2
16030314,"Бучнуха",,,,,"01040100612102000017826",2
16102077,"Былина",,,,,,2
16024639,"Быча",,,,,,3
13943174,"Вага","Вага","Северная Двина","Q63090","ru:Вага (приток Северной Двины)","03020300212103000028162",15
