id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
15986566,"Болотея",,,,,,3
16003971,"Вая",,,"Q4105588","ru:Вая (приток Чеснавы)",,2
16004060,"Векса",,,,,,2
15987268,"Великая",,,"Q4106210","ru:Великая (приток Волги)","08010300212110000011245",11
15986569,"Ветка",,,,,,2
1730417,"Волга","Волга","Caspian Sea","Q626","ru:Волга","08010100112110000000017",213
16003955,"Воля",,,,,"08010200412110000010287",2
15986548,"Вондель",,,,,"08010300212110000011061",4
14328305,"Вопша",,,"Q84703","ru:Вопша (река)",,2
15998648,"Ворга",,,,,,2
15998642,"Воржехоть",,,,,"08010100912110000004635",5
15998644,"Воржехоть",,,,,,3
15998650,"Вьюг",,,,,"08010300212110000011023",5
15986575,"Вязовка",,,,,,2
7935938,"Вёкса",,"озеро Сомино",,,"08010100812110000004056",9
15998688,"Вёкса",,,"Q4130541","ru:Вёкса (приток Которосли)",,3
16004016,"Городишко",,,,,,3
16000804,"Гришинка",,,,,,2
16006928,"Дериножка",,,"Q86230","ru:Дериножка","08010300212110000010705",3
15986568,"Дубенка",,,,,,2
16006912,"Дунайка",,,,,,10
16004017,"Ега",,,,,,2
16003985,"Ерга",,,,,,5
15998645,"Жабня","Жабня",,,,,12
15987257,"Игобла",,,"Q84372","ru:Игобла",,2
16003978,"Ильд",,,,,,7
15998691,"Ильма",,,,,"08010300212110000010712",2
16003958,"Искра",,,,,,5
15986538,"Ить",,,,,"08010300212110000010552",2
15998693,"Ишня",,,,,"08010300212110000011221",1
15998641,"Каменка",,,,,,3
15998697,"Каменка",,,,,,5
16003956,"Каменка",,,,,,2
16003966,"Каменка",,,,,,2
15986563,"Катка",,,"Q86212","ru:Катка (приток Корожечны)",,4
16006930,"Кеда",,,,,"08010300212110000010873",2
16004053,"Келноть",,,,,"08010300212110000011474",4
16004000,"Керома",,,"Q4219668","ru:Керома",,4
15986543,"Кисьма",,,,,,10
16003984,"Кисьма",,,,,,3
16006925,"Кобылка",,,,,"08010300212110000011030",2
16004045,"Ковать",,,,,,7
15986572,"Ковшевка","Ковшевка",,"Q84619","ru:Ковшевка","08010100812110000004377",3
15987250,"Когаша",,,,,"08010300212110000010613",12
16004032,"Козинка",,,,,"08010300212110000011580",5
16003981,"Койка",,,,,,3
16004004,"Конгора",,,"Q4230437","ru:Конгора","08010200412110000009755",6
15987264,"Конча",,,,,"08010300212110000011641",2
15998666,"Коптяиха",,,,,,2
16004018,"Коржа",,,,,,4
15986562,"Корожечна",,,,,,5
13991625,"Кострома","Кострома́",,"Q863102",,,15
16004066,"Кось",,,"Q84377","ru:Кось","08010300212110000011191",6
15986552,"Которосль",,,"Q1146058","ru:Которосль","08010300212110000010644",3
15998643,"Крива",,,,,,4
2445754,"Кубрь",,"Нерль","Q4244152","ru:Кубрь",,11
16006934,"Кувайка",,,,,,5
15986534,"Куза",,,,,,2
15986539,"Курбица",,,,,"08010300212110000011122",2
15998692,"Кучебешь",,,,,"08010300212110000011214",5
15986567,"Ламь",,,,,,6
15986550,"Лахость",,,,,"08010300212110000010989",6
16003982,"Левонька",,,,,"08010100912110000004598",3
16004062,"Лихута",,,,,,3
16006931,"Локсимерь",,,,,"08010300212110000010859",3
16003979,"Ломиха",,,,,"08010100912110000004703",4
15987273,"Лукинка",,,,,,2
15998687,"Луть",,,,,"08010300212110000010941",2
16003987,"Малая Корожечка",,,,,,5
15976420,"Малый Киржач",,,,,,10
16004050,"Марица",,,,,,4
16004007,"Маткома",,,"Q7226607","ru:Маткома",,4
16141058,"Митинка",,,,,,2
15986547,"Могза",,,"Q85236","ru:Могза","08010300212110000010835",3
16004019,"Морма",,,,,,3
16000798,"Мося",,,,,,2
16004006,"Надокса",,,,,"08010200412110000009748",2
16003999,"Нахта",,,,,,9
16003991,"Нерга",,,,"ru:Нерга","08010100912110000004505",4
16004063,"Нерехта",,,,,"08010300212110000011382",5
2144251,"Нерль","Нерль",,"Q904509","ru:Нерль (приток Клязьмы)","09010300812110000032258",37
2469283,"Нерль","Нерль","Volga","Q390987","ru:Нерль (приток Волги)","08010100812110000004056",4
15998698,"Нилка",,,"Q4321334","ru:Нилка","09010300812110000032289",5
15998670,"Нора",,,,,,12
16000806,"Нучка",,,,,,2
15986557,"Обнора",,,,,,4
15987248,"Павловка",,,,,,5
15998683,"Пажа",,,,,"08010300212110000010927",2
15986531,"Пажица",,,,,"08010300212110000011153",9
15886419,"Парша",,,,,,2
15998668,"Пекша",,,,,,7
15987267,"Песколдыш",,,,,"08010300112110000012878",7
16004068,"Печегда",,,,,"08010300212110000011184",3
16003989,"Пойга",,,"Q85733","ru:Пойга (приток Катки)",,7
16000815,"Поповка",,,,,,5
16003986,"Постная",,,,,,5
16004005,"Прудовка",,,,,,5
15986574,"Пукша","Пукша",,"Q84265","ru:Пукша","08010100812110000004346",8
16004067,"Пухлома",,,,,,2
16004021,"Рекша-Шаготька",,,,,,3
16111897,"Репа",,,,,,2
15987251,"Рога",,,,,"08010300212110000010606",11
15987261,"Рокша",,,"Q4396925","ru:Рокша (приток Шахи)",,4
15986532,"Руша",,,,,,2
16004052,"Рыбинка",,,,,"08010300212110000011429",3
15987244,"Рыкуша",,,"Q85798","ru:Рыкуша",,5
16000796,"Рюмжа",,,,,,2
15986542,"Сабля",,,,,,7
6061764,"Саводранка",,"Саводранка","Q85582",,"08010300212110000011504",4
15986541,"Сара",,,,,,6
16003983,"Свинцовка",,,,,"08010100912110000004581",2
15986570,"Себла",,,,,,4
16006915,"Сегжа",,,,,,2
16102011,"Сегжа",,,,,,3
15986571,"Сить",,,"Q2994977","ru:Сить",,9
15986535,"Сога",,,,,,2
15986556,"Согожа","Согожа",,"Q2416443","ru:Согожа",,2
15986551,"Солоница",,,,,"08010300212110000011306",7
15986544,"Сольба",,,,,,6
15998680,"Сосновка",,,,,"08010300212110000011146",19
15986558,"Соть",,,,,"08010300212110000011566",3
16068240,"Соть",,,,,,3
16004014,"Сундоба",,,,,,2
15986564,"Сутка","Сутка",,"Q4446803","ru:Сутка",,3
15987262,"Трубеж",,,"Q4464143","ru:Трубеж (река, впадает в Плещеево озеро)",,10
15986549,"Туношонка",,,,,,3
16000800,"Тупшер",,,"Q4465648","ru:Тупшер",,2
16141060,"Тютешь",,,,,,3
16000802,"Углас",,,,,,2
16004026,"Удгода",,,,,"08010300112110000012625",3
15986545,"Улейма",,,,,,8
16003995,"Ура",,,,,,3
15986537,"Урдома",,,,,,3
15986577,"Устье",,,,,"08010300212110000010651",15
15998684,"Утьма",,,,,"08010300212110000010897",2
6061756,"Ухтанка",,"Саводранка","Q4479217",,"08010300212110000011498",10
15986555,"Ухтома","Ухтома",,,,,2
15986578,"Ухтома",,,,,,2
16003980,"Учемка",,,,,,3
15987275,"Ушлонка",,,,,,2
16006924,"Хмелевка",,,,,,3
15986560,"Черёмуха",,,,,"08010300212110000010347",10
15998689,"Чёрная","Чёрная",,,,"08010300212110000010965",2
16000797,"Чёрная",,,,,,6
16006922,"Шакша",,,,,,2
15986533,"Шарна",,,"Q4388919","ru:Шарна",,2
15987247,"Шача",,,"Q4521513","ru:Шача (приток Костромы)","08010300112110000012670",23
167665,"Шексна","Шексна","Рыбинское водохранилище","Q1147118","ru:Шексна","08010200312110000008261",32
15987269,"Шепелюха",,,,,"08010300212110000011139",7
15987271,"Ширинка",,,,,"08010300212110000011092",7
16006927,"Шопша",,,,,"08010300212110000011054",9
16003957,"Шуйка",,,"Q85152","ru:Шуйка (приток Каменки)",,2
15998695,"Шула",,,,,"08010300212110000010811",3
16004069,"Шума",,,,,"08010300212110000011177",3
15987263,"Шумаровка","Шумаровка",,,,,2
15886424,"Шуста",,,,,,2
16004044,"Эдома",,,"Q85106","ru:Эдома",,3
16004042,"Языковка",,,,,"08010300212110000010361",4
